geo_area,item,year,gpin
United States of America,"Meat indigenous, horse",1969,76.01
Uruguay,"Meat indigenous, horse",1969,11.7
Bolivia (Plurinational State of),"Meat indigenous, other camelids",1969,17.4
Peru,"Meat indigenous, other camelids",1969,96.01
Antigua and Barbuda,"Meat indigenous, pig",1969,111.94
Argentina,"Meat indigenous, pig",1969,42.42
Bahamas,"Meat indigenous, pig",1969,86.79
Barbados,"Meat indigenous, pig",1969,101.64
Belize,"Meat indigenous, pig",1969,44.83
Bolivia (Plurinational State of),"Meat indigenous, pig",1969,26.36
Brazil,"Meat indigenous, pig",1969,20.9
Canada,"Meat indigenous, pig",1969,30.24
Chile,"Meat indigenous, pig",1969,8.09
Colombia,"Meat indigenous, pig",1969,21.81
Costa Rica,"Meat indigenous, pig",1969,9.84
Cuba,"Meat indigenous, pig",1969,15.36
Dominica,"Meat indigenous, pig",1969,73.93
Dominican Republic,"Meat indigenous, pig",1969,13.94
Ecuador,"Meat indigenous, pig",1969,9.89
El Salvador,"Meat indigenous, pig",1969,139.55
Grenada,"Meat indigenous, pig",1969,36
Guatemala,"Meat indigenous, pig",1969,19.28
Guyana,"Meat indigenous, pig",1969,378.13
Haiti,"Meat indigenous, pig",1969,70.61
Honduras,"Meat indigenous, pig",1969,84.35
Jamaica,"Meat indigenous, pig",1969,67.56
Mexico,"Meat indigenous, pig",1969,34.63
Nicaragua,"Meat indigenous, pig",1969,131.29
Panama,"Meat indigenous, pig",1969,12.14
Paraguay,"Meat indigenous, pig",1969,109.48
Peru,"Meat indigenous, pig",1969,32.76
Puerto Rico,"Meat indigenous, pig",1969,150.33
Saint Kitts and Nevis,"Meat indigenous, pig",1969,192.06
Saint Lucia,"Meat indigenous, pig",1969,95.74
Saint Vincent and the Grenadines,"Meat indigenous, pig",1969,47.33
Suriname,"Meat indigenous, pig",1969,22.74
Trinidad and Tobago,"Meat indigenous, pig",1969,109.5
United States of America,"Meat indigenous, pig",1969,56.42
Uruguay,"Meat indigenous, pig",1969,133.4
Venezuela (Bolivarian Republic of),"Meat indigenous, pig",1969,23.83
Argentina,"Meat indigenous, rabbit",1969,86.06
Bolivia (Plurinational State of),"Meat indigenous, rabbit",1969,63.56
Brazil,"Meat indigenous, rabbit",1969,346.15
Colombia,"Meat indigenous, rabbit",1969,35.38
Ecuador,"Meat indigenous, rabbit",1969,80
Mexico,"Meat indigenous, rabbit",1969,7.84
Peru,"Meat indigenous, rabbit",1969,52.3
Puerto Rico,"Meat indigenous, rabbit",1969,NA
Trinidad and Tobago,"Meat indigenous, rabbit",1969,NA
Uruguay,"Meat indigenous, rabbit",1969,39.28
Venezuela (Bolivarian Republic of),"Meat indigenous, rabbit",1969,NA
Antigua and Barbuda,"Meat indigenous, sheep",1969,201.18
Argentina,"Meat indigenous, sheep",1969,342.92
Bahamas,"Meat indigenous, sheep",1969,291.87
Barbados,"Meat indigenous, sheep",1969,88.23
Belize,"Meat indigenous, sheep",1969,12.56
Bolivia (Plurinational State of),"Meat indigenous, sheep",1969,89.97
Brazil,"Meat indigenous, sheep",1969,38.5
Canada,"Meat indigenous, sheep",1969,46.6
Chile,"Meat indigenous, sheep",1969,285.25
Colombia,"Meat indigenous, sheep",1969,247.13
Costa Rica,"Meat indigenous, sheep",1969,52.12
Cuba,"Meat indigenous, sheep",1969,10.17
Dominica,"Meat indigenous, sheep",1969,53.51
Dominican Republic,"Meat indigenous, sheep",1969,11.95
Ecuador,"Meat indigenous, sheep",1969,122.25
El Salvador,"Meat indigenous, sheep",1969,48.36
Grenada,"Meat indigenous, sheep",1969,30.68
Guatemala,"Meat indigenous, sheep",1969,122.97
Guyana,"Meat indigenous, sheep",1969,70.54
Haiti,"Meat indigenous, sheep",1969,30.88
Honduras,"Meat indigenous, sheep",1969,25
Jamaica,"Meat indigenous, sheep",1969,144.32
Mexico,"Meat indigenous, sheep",1969,38.33
Nicaragua,"Meat indigenous, sheep",1969,28.41
Paraguay,"Meat indigenous, sheep",1969,54.07
Peru,"Meat indigenous, sheep",1969,68.89
Puerto Rico,"Meat indigenous, sheep",1969,82.37
Saint Kitts and Nevis,"Meat indigenous, sheep",1969,700.97
Saint Lucia,"Meat indigenous, sheep",1969,54.64
Saint Vincent and the Grenadines,"Meat indigenous, sheep",1969,35.66
Suriname,"Meat indigenous, sheep",1969,94.74
Trinidad and Tobago,"Meat indigenous, sheep",1969,63.73
United States of America,"Meat indigenous, sheep",1969,351.93
Uruguay,"Meat indigenous, sheep",1969,337.41
Venezuela (Bolivarian Republic of),"Meat indigenous, sheep",1969,20.78
Antigua and Barbuda,"Meat indigenous, total",1969,136.91
Argentina,"Meat indigenous, total",1969,85.75
Bahamas,"Meat indigenous, total",1969,29.68
Barbados,"Meat indigenous, total",1969,27.82
Belize,"Meat indigenous, total",1969,9.85
Bolivia (Plurinational State of),"Meat indigenous, total",1969,16.82
Brazil,"Meat indigenous, total",1969,13.95
Canada,"Meat indigenous, total",1969,52.62
Chile,"Meat indigenous, total",1969,28.25
Colombia,"Meat indigenous, total",1969,29.41
Costa Rica,"Meat indigenous, total",1969,28.08
Cuba,"Meat indigenous, total",1969,125.66
Dominica,"Meat indigenous, total",1969,40.5
Dominican Republic,"Meat indigenous, total",1969,18.77
Ecuador,"Meat indigenous, total",1969,15.66
El Salvador,"Meat indigenous, total",1969,35.58
Grenada,"Meat indigenous, total",1969,100.01
Guatemala,"Meat indigenous, total",1969,20.26
Guyana,"Meat indigenous, total",1969,46.24
Haiti,"Meat indigenous, total",1969,48.06
Honduras,"Meat indigenous, total",1969,25.82
Jamaica,"Meat indigenous, total",1969,34.05
Mexico,"Meat indigenous, total",1969,26.13
Nicaragua,"Meat indigenous, total",1969,35.44
Panama,"Meat indigenous, total",1969,21.69
Paraguay,"Meat indigenous, total",1969,28.94
Peru,"Meat indigenous, total",1969,18.54
Puerto Rico,"Meat indigenous, total",1969,112.6
Saint Kitts and Nevis,"Meat indigenous, total",1969,289.46
Saint Lucia,"Meat indigenous, total",1969,51.28
Saint Vincent and the Grenadines,"Meat indigenous, total",1969,62.1
Suriname,"Meat indigenous, total",1969,43.31
Trinidad and Tobago,"Meat indigenous, total",1969,30.8
United States of America,"Meat indigenous, total",1969,59.28
Uruguay,"Meat indigenous, total",1969,73.05
Venezuela (Bolivarian Republic of),"Meat indigenous, total",1969,29.97
Argentina,"Meat indigenous, turkey",1969,12.82
Barbados,"Meat indigenous, turkey",1969,NA
Belize,"Meat indigenous, turkey",1969,15.85
Bolivia (Plurinational State of),"Meat indigenous, turkey",1969,44.79
Brazil,"Meat indigenous, turkey",1969,1.38
Canada,"Meat indigenous, turkey",1969,53.18
Chile,"Meat indigenous, turkey",1969,NA
Ecuador,"Meat indigenous, turkey",1969,2.46
Haiti,"Meat indigenous, turkey",1969,82.13
Mexico,"Meat indigenous, turkey",1969,116.79
Paraguay,"Meat indigenous, turkey",1969,22.1
United States of America,"Meat indigenous, turkey",1969,27.76
Uruguay,"Meat indigenous, turkey",1969,60.5
Argentina,Meat nes,1969,NA
Canada,Meat nes,1969,287.24
Ecuador,Meat nes,1969,33.82
Grenada,Meat nes,1969,62.33
Haiti,Meat nes,1969,37.71
Argentina,"Meat, game",1969,78
Peru,"Meat, game",1969,86.57
United States of America,"Meat, game",1969,87.8
Uruguay,"Meat, game",1969,NA
Antigua and Barbuda,"Melons, other (inc.cantaloupes)",1969,1.43
Argentina,"Melons, other (inc.cantaloupes)",1969,48.52
Barbados,"Melons, other (inc.cantaloupes)",1969,NA
Belize,"Melons, other (inc.cantaloupes)",1969,NA
Brazil,"Melons, other (inc.cantaloupes)",1969,0.87
Canada,"Melons, other (inc.cantaloupes)",1969,3.82
Chile,"Melons, other (inc.cantaloupes)",1969,371.2
Colombia,"Melons, other (inc.cantaloupes)",1969,9.73
Costa Rica,"Melons, other (inc.cantaloupes)",1969,NA
Cuba,"Melons, other (inc.cantaloupes)",1969,16.68
Dominican Republic,"Melons, other (inc.cantaloupes)",1969,1.52
Ecuador,"Melons, other (inc.cantaloupes)",1969,4.06
El Salvador,"Melons, other (inc.cantaloupes)",1969,724.86
Grenada,"Melons, other (inc.cantaloupes)",1969,NA
Guatemala,"Melons, other (inc.cantaloupes)",1969,NA
Haiti,"Melons, other (inc.cantaloupes)",1969,72.49
Honduras,"Melons, other (inc.cantaloupes)",1969,0.21
Jamaica,"Melons, other (inc.cantaloupes)",1969,NA
Mexico,"Melons, other (inc.cantaloupes)",1969,30.04
Panama,"Melons, other (inc.cantaloupes)",1969,1.1
Paraguay,"Melons, other (inc.cantaloupes)",1969,58.16
Peru,"Melons, other (inc.cantaloupes)",1969,36.55
Puerto Rico,"Melons, other (inc.cantaloupes)",1969,NA
United States of America,"Melons, other (inc.cantaloupes)",1969,87.48
Uruguay,"Melons, other (inc.cantaloupes)",1969,102.59
Venezuela (Bolivarian Republic of),"Melons, other (inc.cantaloupes)",1969,NA
Mexico,Melonseed,1969,NA
Antigua and Barbuda,"Milk, Total",1969,102.76
Argentina,"Milk, Total",1969,40.97
Bahamas,"Milk, Total",1969,74.3
Barbados,"Milk, Total",1969,103.79
Belize,"Milk, Total",1969,68.2
Bolivia (Plurinational State of),"Milk, Total",1969,12.83
Brazil,"Milk, Total",1969,21.09
Canada,"Milk, Total",1969,104.39
Chile,"Milk, Total",1969,49.61
Colombia,"Milk, Total",1969,32.16
Costa Rica,"Milk, Total",1969,16.83
Cuba,"Milk, Total",1969,114.27
Dominica,"Milk, Total",1969,14.41
Dominican Republic,"Milk, Total",1969,37.39
Ecuador,"Milk, Total",1969,36.06
El Salvador,"Milk, Total",1969,31.54
Grenada,"Milk, Total",1969,275.84
Guatemala,"Milk, Total",1969,46.69
Guyana,"Milk, Total",1969,36.92
Haiti,"Milk, Total",1969,34.74
Honduras,"Milk, Total",1969,24.77
Jamaica,"Milk, Total",1969,19.62
Mexico,"Milk, Total",1969,33.94
Nicaragua,"Milk, Total",1969,55.36
Panama,"Milk, Total",1969,37.55
Paraguay,"Milk, Total",1969,16.84
Peru,"Milk, Total",1969,40.71
Puerto Rico,"Milk, Total",1969,104.29
Saint Lucia,"Milk, Total",1969,86.93
Saint Vincent and the Grenadines,"Milk, Total",1969,130.09
Suriname,"Milk, Total",1969,210.33
Trinidad and Tobago,"Milk, Total",1969,288.98
United States of America,"Milk, Total",1969,55.53
Uruguay,"Milk, Total",1969,35.51
Venezuela (Bolivarian Republic of),"Milk, Total",1969,40.78
Antigua and Barbuda,"Milk, whole fresh cow",1969,102.76
Argentina,"Milk, whole fresh cow",1969,40.97
Bahamas,"Milk, whole fresh cow",1969,157.07
Barbados,"Milk, whole fresh cow",1969,103.79
Belize,"Milk, whole fresh cow",1969,68.2
Bolivia (Plurinational State of),"Milk, whole fresh cow",1969,6.64
Brazil,"Milk, whole fresh cow",1969,21.04
Canada,"Milk, whole fresh cow",1969,104.39
Chile,"Milk, whole fresh cow",1969,49.24
Colombia,"Milk, whole fresh cow",1969,32.16
Costa Rica,"Milk, whole fresh cow",1969,16.83
Cuba,"Milk, whole fresh cow",1969,115.06
Dominica,"Milk, whole fresh cow",1969,14.41
Dominican Republic,"Milk, whole fresh cow",1969,37.39
Ecuador,"Milk, whole fresh cow",1969,35.76
El Salvador,"Milk, whole fresh cow",1969,31.54
Grenada,"Milk, whole fresh cow",1969,275.84
Guatemala,"Milk, whole fresh cow",1969,46.96
Guyana,"Milk, whole fresh cow",1969,36.92
Haiti,"Milk, whole fresh cow",1969,36.85
Honduras,"Milk, whole fresh cow",1969,24.77
Jamaica,"Milk, whole fresh cow",1969,352.82
Mexico,"Milk, whole fresh cow",1969,32.96
Nicaragua,"Milk, whole fresh cow",1969,55.36
Panama,"Milk, whole fresh cow",1969,37.55
Paraguay,"Milk, whole fresh cow",1969,16.84
Peru,"Milk, whole fresh cow",1969,40.12
Puerto Rico,"Milk, whole fresh cow",1969,104.31
Saint Lucia,"Milk, whole fresh cow",1969,86.93
Saint Vincent and the Grenadines,"Milk, whole fresh cow",1969,130.09
Suriname,"Milk, whole fresh cow",1969,210.33
Trinidad and Tobago,"Milk, whole fresh cow",1969,288.98
United States of America,"Milk, whole fresh cow",1969,55.54
Uruguay,"Milk, whole fresh cow",1969,35.51
Venezuela (Bolivarian Republic of),"Milk, whole fresh cow",1969,40.78
Bahamas,"Milk, whole fresh goat",1969,49.56
Bolivia (Plurinational State of),"Milk, whole fresh goat",1969,37.69
Brazil,"Milk, whole fresh goat",1969,27.97
Chile,"Milk, whole fresh goat",1969,136.4
Costa Rica,"Milk, whole fresh goat",1969,NA
Cuba,"Milk, whole fresh goat",1969,NA
Ecuador,"Milk, whole fresh goat",1969,192.73
Guatemala,"Milk, whole fresh goat",1969,NA
Haiti,"Milk, whole fresh goat",1969,33.23
Jamaica,"Milk, whole fresh goat",1969,NA
Mexico,"Milk, whole fresh goat",1969,114.07
Peru,"Milk, whole fresh goat",1969,83.49
Puerto Rico,"Milk, whole fresh goat",1969,NA
United States of America,"Milk, whole fresh goat",1969,NA
Bolivia (Plurinational State of),"Milk, whole fresh sheep",1969,63.66
Ecuador,"Milk, whole fresh sheep",1969,88.39
Mexico,"Milk, whole fresh sheep",1969,NA
Argentina,Millet,1969,4136.98
Mexico,Millet,1969,NA
United States of America,Millet,1969,48
Canada,Mushrooms and truffles,1969,7.99
United States of America,Mushrooms and truffles,1969,20.59
Canada,Mustard seed,1969,63.03
Mexico,Mustard seed,1969,NA
United States of America,Mustard seed,1969,19.71
Argentina,Non Food,1969,178.61
Belize,Non Food,1969,NA
Bolivia (Plurinational State of),Non Food,1969,64.08
Brazil,Non Food,1969,46.43
Canada,Non Food,1969,136.36
Chile,Non Food,1969,50.94
Colombia,Non Food,1969,64.08
Costa Rica,Non Food,1969,93.75
Cuba,Non Food,1969,210.98
Dominica,Non Food,1969,NA
Dominican Republic,Non Food,1969,263.61
Ecuador,Non Food,1969,117.12
El Salvador,Non Food,1969,345.75
Guatemala,Non Food,1969,26.84
Guyana,Non Food,1969,148.67
Haiti,Non Food,1969,105.57
Honduras,Non Food,1969,13.04
Jamaica,Non Food,1969,39.47
Mexico,Non Food,1969,116.43
Nicaragua,Non Food,1969,33.06
Panama,Non Food,1969,61.83
Paraguay,Non Food,1969,238.88
Peru,Non Food,1969,34.63
Puerto Rico,Non Food,1969,328.15
Saint Vincent and the Grenadines,Non Food,1969,28.06
Suriname,Non Food,1969,3883.33
Trinidad and Tobago,Non Food,1969,332.02
United States of America,Non Food,1969,277.66
Uruguay,Non Food,1969,234.52
Venezuela (Bolivarian Republic of),Non Food,1969,132.93
Dominica,"Nutmeg, mace and cardamoms",1969,NA
Grenada,"Nutmeg, mace and cardamoms",1969,64.48
Guatemala,"Nutmeg, mace and cardamoms",1969,2.1
Honduras,"Nutmeg, mace and cardamoms",1969,NA
Saint Lucia,"Nutmeg, mace and cardamoms",1969,20.79
Saint Vincent and the Grenadines,"Nutmeg, mace and cardamoms",1969,61.33
Trinidad and Tobago,"Nutmeg, mace and cardamoms",1969,27.11
Brazil,Nuts nes,1969,NA
Colombia,Nuts nes,1969,NA
Costa Rica,Nuts nes,1969,NA
Guatemala,Nuts nes,1969,NA
Mexico,Nuts nes,1969,8.09
Peru,Nuts nes,1969,6.23
United States of America,Nuts nes,1969,86.55
Argentina,Oats,1969,83.72
Bolivia (Plurinational State of),Oats,1969,15.91
Brazil,Oats,1969,4.28
Canada,Oats,1969,170.45
Chile,Oats,1969,18.25
Ecuador,Oats,1969,44.93
Mexico,Oats,1969,35.09
Peru,Oats,1969,5.12
United States of America,Oats,1969,1291.31
Uruguay,Oats,1969,79.99
Brazil,Oil palm fruit,1969,3.78
Colombia,Oil palm fruit,1969,2.59
Costa Rica,Oil palm fruit,1969,6.45
Dominican Republic,Oil palm fruit,1969,NA
Ecuador,Oil palm fruit,1969,5.57
Guatemala,Oil palm fruit,1969,NA
Honduras,Oil palm fruit,1969,1.65
Mexico,Oil palm fruit,1969,26.57
Nicaragua,Oil palm fruit,1969,14.08
Panama,Oil palm fruit,1969,NA
Paraguay,Oil palm fruit,1969,83.12
Peru,Oil palm fruit,1969,NA
Suriname,Oil palm fruit,1969,NA
Venezuela (Bolivarian Republic of),Oil palm fruit,1969,NA
Antigua and Barbuda,"Oilcrops, Oil Equivalent",1969,152.38
Argentina,"Oilcrops, Oil Equivalent",1969,7.21
Bahamas,"Oilcrops, Oil Equivalent",1969,NA
Barbados,"Oilcrops, Oil Equivalent",1969,80.78
Belize,"Oilcrops, Oil Equivalent",1969,7.52
Bolivia (Plurinational State of),"Oilcrops, Oil Equivalent",1969,1.2
Brazil,"Oilcrops, Oil Equivalent",1969,7.45
Canada,"Oilcrops, Oil Equivalent",1969,7.43
Chile,"Oilcrops, Oil Equivalent",1969,36.12
Colombia,"Oilcrops, Oil Equivalent",1969,36
Costa Rica,"Oilcrops, Oil Equivalent",1969,9.2
Cuba,"Oilcrops, Oil Equivalent",1969,133.59
Dominica,"Oilcrops, Oil Equivalent",1969,143.75
Dominican Republic,"Oilcrops, Oil Equivalent",1969,119.34
Ecuador,"Oilcrops, Oil Equivalent",1969,15.9
El Salvador,"Oilcrops, Oil Equivalent",1969,240.64
Grenada,"Oilcrops, Oil Equivalent",1969,133.3
Guatemala,"Oilcrops, Oil Equivalent",1969,29.16
Guyana,"Oilcrops, Oil Equivalent",1969,60.14
Haiti,"Oilcrops, Oil Equivalent",1969,15.96
Honduras,"Oilcrops, Oil Equivalent",1969,7.83
Jamaica,"Oilcrops, Oil Equivalent",1969,135.79
Mexico,"Oilcrops, Oil Equivalent",1969,132.93
Nicaragua,"Oilcrops, Oil Equivalent",1969,67.19
Panama,"Oilcrops, Oil Equivalent",1969,44
Paraguay,"Oilcrops, Oil Equivalent",1969,2.5
Peru,"Oilcrops, Oil Equivalent",1969,61.24
Puerto Rico,"Oilcrops, Oil Equivalent",1969,3145.91
Saint Kitts and Nevis,"Oilcrops, Oil Equivalent",1969,67.35
Saint Lucia,"Oilcrops, Oil Equivalent",1969,341.44
Saint Vincent and the Grenadines,"Oilcrops, Oil Equivalent",1969,489.89
Suriname,"Oilcrops, Oil Equivalent",1969,57.29
Trinidad and Tobago,"Oilcrops, Oil Equivalent",1969,853.85
United States of America,"Oilcrops, Oil Equivalent",1969,32.44
Uruguay,"Oilcrops, Oil Equivalent",1969,10.65
Venezuela (Bolivarian Republic of),"Oilcrops, Oil Equivalent",1969,152.62
Brazil,Oilseeds nes,1969,93.95
Canada,Oilseeds nes,1969,NA
Costa Rica,Oilseeds nes,1969,NA
Bahamas,Okra,1969,NA
Barbados,Okra,1969,NA
Belize,Okra,1969,NA
Guatemala,Okra,1969,NA
Guyana,Okra,1969,NA
Jamaica,Okra,1969,NA
Mexico,Okra,1969,9.78
Puerto Rico,Okra,1969,NA
Trinidad and Tobago,Okra,1969,NA
United States of America,Okra,1969,NA
Argentina,Olives,1969,24.66
Brazil,Olives,1969,196.11
Chile,Olives,1969,13.32
El Salvador,Olives,1969,13.31
Mexico,Olives,1969,68.21
Peru,Olives,1969,8.9
United States of America,Olives,1969,47.84
Uruguay,Olives,1969,12.77
Antigua and Barbuda,"Onions, dry",1969,7.54
Argentina,"Onions, dry",1969,34.6
Bahamas,"Onions, dry",1969,142.74
Barbados,"Onions, dry",1969,36.76
Bolivia (Plurinational State of),"Onions, dry",1969,42.34
Brazil,"Onions, dry",1969,17.39
Canada,"Onions, dry",1969,39.48
Chile,"Onions, dry",1969,27.43
Colombia,"Onions, dry",1969,32.41
Costa Rica,"Onions, dry",1969,7.34
Cuba,"Onions, dry",1969,17.96
Dominican Republic,"Onions, dry",1969,29.08
El Salvador,"Onions, dry",1969,337.55
Guatemala,"Onions, dry",1969,10.01
Guyana,"Onions, dry",1969,NA
Haiti,"Onions, dry",1969,26.95
Honduras,"Onions, dry",1969,7.92
Jamaica,"Onions, dry",1969,21.39
Mexico,"Onions, dry",1969,8.96
Nicaragua,"Onions, dry",1969,27.29
Panama,"Onions, dry",1969,37.34
Paraguay,"Onions, dry",1969,58.34
Peru,"Onions, dry",1969,17.48
Saint Kitts and Nevis,"Onions, dry",1969,NA
United States of America,"Onions, dry",1969,37.06
Uruguay,"Onions, dry",1969,45.87
Venezuela (Bolivarian Republic of),"Onions, dry",1969,12.67
Bahamas,"Onions, shallots, green",1969,NA
Belize,"Onions, shallots, green",1969,NA
Costa Rica,"Onions, shallots, green",1969,NA
Ecuador,"Onions, shallots, green",1969,101.05
Jamaica,"Onions, shallots, green",1969,4.76
Mexico,"Onions, shallots, green",1969,NA
Paraguay,"Onions, shallots, green",1969,NA
Puerto Rico,"Onions, shallots, green",1969,NA
Venezuela (Bolivarian Republic of),"Onions, shallots, green",1969,NA
Argentina,Oranges,1969,80.55
Bahamas,Oranges,1969,NA
Belize,Oranges,1969,22.19
Bolivia (Plurinational State of),Oranges,1969,25.79
Brazil,Oranges,1969,17.09
Chile,Oranges,1969,29.44
Colombia,Oranges,1969,33.5
Costa Rica,Oranges,1969,25.23
Cuba,Oranges,1969,304.98
Dominica,Oranges,1969,28.41
Dominican Republic,Oranges,1969,39.45
Ecuador,Oranges,1969,151.66
El Salvador,Oranges,1969,56.72
Grenada,Oranges,1969,147.16
Guatemala,Oranges,1969,NA
Guyana,Oranges,1969,186.52
Haiti,Oranges,1969,37.11
Honduras,Oranges,1969,8.04
Jamaica,Oranges,1969,101.88
Mexico,Oranges,1969,35.74
Nicaragua,Oranges,1969,38.03
Panama,Oranges,1969,93.07
Paraguay,Oranges,1969,74.63
Peru,Oranges,1969,52.23
Puerto Rico,Oranges,1969,260.74
Saint Lucia,Oranges,1969,34.45
Saint Vincent and the Grenadines,Oranges,1969,22.56
Suriname,Oranges,1969,100.09
Trinidad and Tobago,Oranges,1969,280.67
United States of America,Oranges,1969,123.41
Uruguay,Oranges,1969,31.36
Venezuela (Bolivarian Republic of),Oranges,1969,46.63
Argentina,Papayas,1969,25.94
Bahamas,Papayas,1969,NA
Belize,Papayas,1969,NA
Bolivia (Plurinational State of),Papayas,1969,23.18
Brazil,Papayas,1969,4.07
Chile,Papayas,1969,22.23
Colombia,Papayas,1969,22.4
Costa Rica,Papayas,1969,2.79
Cuba,Papayas,1969,19.07
Dominica,Papayas,1969,NA
Dominican Republic,Papayas,1969,0.83
Ecuador,Papayas,1969,112.79
El Salvador,Papayas,1969,27.5
Guatemala,Papayas,1969,NA
Guyana,Papayas,1969,NA
Haiti,Papayas,1969,NA
Honduras,Papayas,1969,NA
Jamaica,Papayas,1969,8.43
Mexico,Papayas,1969,13.45
Panama,Papayas,1969,NA
Paraguay,Papayas,1969,88.05
Peru,Papayas,1969,34.39
Puerto Rico,Papayas,1969,5.3
Suriname,Papayas,1969,NA
Trinidad and Tobago,Papayas,1969,NA
United States of America,Papayas,1969,81.55
Venezuela (Bolivarian Republic of),Papayas,1969,17.18
Argentina,Peaches and nectarines,1969,97.19
Bolivia (Plurinational State of),Peaches and nectarines,1969,40.71
Brazil,Peaches and nectarines,1969,47.08
Canada,Peaches and nectarines,1969,137.84
Chile,Peaches and nectarines,1969,24.89
Colombia,Peaches and nectarines,1969,NA
Ecuador,Peaches and nectarines,1969,50.75
Guatemala,Peaches and nectarines,1969,NA
Mexico,Peaches and nectarines,1969,44.77
Paraguay,Peaches and nectarines,1969,223.12
Peru,Peaches and nectarines,1969,61.19
United States of America,Peaches and nectarines,1969,189.29
Uruguay,Peaches and nectarines,1969,183.17
Venezuela (Bolivarian Republic of),Peaches and nectarines,1969,1.87
Argentina,Pears,1969,16.68
Bolivia (Plurinational State of),Pears,1969,285.61
Brazil,Pears,1969,322
Canada,Pears,1969,262.27
Chile,Pears,1969,10.66
Colombia,Pears,1969,NA
Ecuador,Pears,1969,41.6
Mexico,Pears,1969,140.81
Paraguay,Pears,1969,31.67
Peru,Pears,1969,114.28
Saint Vincent and the Grenadines,Pears,1969,13.84
United States of America,Pears,1969,90.68
Uruguay,Pears,1969,71.14
Argentina,"Peas, dry",1969,13.14
Belize,"Peas, dry",1969,NA
Bolivia (Plurinational State of),"Peas, dry",1969,58.83
Brazil,"Peas, dry",1969,NA
Canada,"Peas, dry",1969,0.79
Chile,"Peas, dry",1969,808.73
Colombia,"Peas, dry",1969,52.56
Dominican Republic,"Peas, dry",1969,152.48
Ecuador,"Peas, dry",1969,1329.17
Guyana,"Peas, dry",1969,26.19
Jamaica,"Peas, dry",1969,198.22
Mexico,"Peas, dry",1969,115.94
Paraguay,"Peas, dry",1969,46.85
Peru,"Peas, dry",1969,38.27
United States of America,"Peas, dry",1969,24.57
Uruguay,"Peas, dry",1969,54.43
Venezuela (Bolivarian Republic of),"Peas, dry",1969,1705.92
Argentina,"Peas, green",1969,105.96
Belize,"Peas, green",1969,NA
Bolivia (Plurinational State of),"Peas, green",1969,30.16
Canada,"Peas, green",1969,94.77
Chile,"Peas, green",1969,269.43
Ecuador,"Peas, green",1969,23.26
Guatemala,"Peas, green",1969,NA
Mexico,"Peas, green",1969,31.05
Peru,"Peas, green",1969,22.48
United States of America,"Peas, green",1969,362.36
Bolivia (Plurinational State of),Pepper (piper spp.),1969,NA
Brazil,Pepper (piper spp.),1969,28.34
Costa Rica,Pepper (piper spp.),1969,NA
Ecuador,Pepper (piper spp.),1969,NA
Guatemala,Pepper (piper spp.),1969,37.75
Guyana,Pepper (piper spp.),1969,NA
Honduras,Pepper (piper spp.),1969,16.38
Mexico,Pepper (piper spp.),1969,12.42
Peru,Pepper (piper spp.),1969,NA
Saint Lucia,Pepper (piper spp.),1969,NA
Argentina,Peppermint,1969,303.97
Mexico,Peppermint,1969,NA
Brazil,Persimmons,1969,11.65
Chile,Persimmons,1969,NA
Mexico,Persimmons,1969,NA
Bahamas,Pigeon peas,1969,278.57
Colombia,Pigeon peas,1969,NA
Dominican Republic,Pigeon peas,1969,103.01
Grenada,Pigeon peas,1969,113.88
Haiti,Pigeon peas,1969,4.51
Jamaica,Pigeon peas,1969,232.74
Panama,Pigeon peas,1969,60.61
Puerto Rico,Pigeon peas,1969,2220.83
Saint Vincent and the Grenadines,Pigeon peas,1969,NA
Trinidad and Tobago,Pigeon peas,1969,123.35
Venezuela (Bolivarian Republic of),Pigeon peas,1969,396.77
Antigua and Barbuda,Pineapples,1969,1.21
Argentina,Pineapples,1969,40.46
Belize,Pineapples,1969,NA
Bolivia (Plurinational State of),Pineapples,1969,6
Brazil,Pineapples,1969,14.87
Colombia,Pineapples,1969,10.33
Costa Rica,Pineapples,1969,0.18
Cuba,Pineapples,1969,22.13
Dominica,Pineapples,1969,NA
Dominican Republic,Pineapples,1969,2.82
Ecuador,Pineapples,1969,32.58
El Salvador,Pineapples,1969,900.09
Grenada,Pineapples,1969,NA
Guatemala,Pineapples,1969,5.7
Guyana,Pineapples,1969,7.87
Haiti,Pineapples,1969,13.15
Honduras,Pineapples,1969,6.67
Jamaica,Pineapples,1969,13.3
Mexico,Pineapples,1969,28.49
Nicaragua,Pineapples,1969,38.27
Panama,Pineapples,1969,7.5
Paraguay,Pineapples,1969,54.03
Peru,Pineapples,1969,16.53
Puerto Rico,Pineapples,1969,986.66
Saint Kitts and Nevis,Pineapples,1969,NA
Saint Lucia,Pineapples,1969,NA
Suriname,Pineapples,1969,14.77
Trinidad and Tobago,Pineapples,1969,162
United States of America,Pineapples,1969,508.97
Venezuela (Bolivarian Republic of),Pineapples,1969,8.64
Mexico,Pistachios,1969,NA
United States of America,Pistachios,1969,NA
Bahamas,Plantains and others,1969,NA
Belize,Plantains and others,1969,NA
Bolivia (Plurinational State of),Plantains and others,1969,21.88
Colombia,Plantains and others,1969,45.99
Costa Rica,Plantains and others,1969,53.91
Cuba,Plantains and others,1969,14.1
Dominica,Plantains and others,1969,NA
Dominican Republic,Plantains and others,1969,53.35
