YearBuilt,SquareFootage,SalePrice,Distance,TaxRate,Bedrooms
1967,1759,407656,17.67,0.97,2
1987,2763,658509,7.33,0.93,5
1964,1492,452748,1.49,1.41,5
2013,2359,600779,22.83,0.96,6
1977,1177,292683,21.57,1.79,4
2023,3746,886649,29.05,1.18,2
1988,3763,758329,35.72,2.32,4
2006,4429,1038589,4.1,2.13,2
1966,1326,251178,29.53,1.99,4
1993,4024,1010146,8.31,1.85,5
1974,3581,693654,34.47,2.27,5
1966,3053,600141,32.94,1.18,1
1962,3302,626932,22.09,2.28,3
1974,4144,797392,28.7,2.14,6
2017,2059,648185,13.26,2.07,4
1959,2675,574796,19.38,1.75,6
2016,2563,618420,33.04,1.22,1
1967,1320,301515,18.91,1.52,3
1983,2501,579517,14.95,2.15,4
1957,1816,355460,20.27,0.85,2
1989,3803,738926,33.3,2.13,3
1991,3573,830308,14.07,1.21,5
1990,1813,517768,7.78,1.05,1
1955,3348,635207,28.77,1.0,3
2001,916,255684,33.21,0.85,3
1975,3233,747296,4.92,1.69,5
2013,2167,606173,10.36,1.17,4
2008,1383,456524,6.54,2.48,2
2005,1194,441787,14.57,1.78,5
2008,1887,522877,18.56,1.03,2
2019,3568,824449,30.2,1.97,4
1982,871,256449,26.39,2.33,3
2002,1073,330991,25.22,2.07,2
1971,2813,619950,14.74,0.93,1
1970,2143,384023,33.82,2.32,1
2019,1137,382921,19.38,2.15,5
2019,2189,497029,39.19,1.07,4
1953,4366,827420,25.73,0.89,5
2024,1406,523184,5.92,1.75,5
2011,965,299140,27.37,1.07,6
2011,2367,650181,13.68,2.22,5
1973,2858,588749,27.77,1.41,6
2004,2124,595701,3.72,2.35,1
1958,1528,370702,7.82,1.76,1
1952,3648,656063,34.37,1.11,5
1980,2843,640056,9.86,1.04,1
1989,901,243762,33.64,1.78,4
1985,4296,942218,11.89,2.1,6
1973,2215,438005,26.07,2.13,6
1955,1578,297637,28.07,1.27,5
2015,1013,375072,20.99,1.15,1
2024,1911,571256,12.91,0.83,2
1953,2376,496205,9.29,1.95,6
1955,3248,678991,2.29,0.93,5
2000,3435,797834,12.85,1.52,5
2011,3736,837464,26.47,1.82,4
2006,3917,800656,37.59,2.39,3
2015,2495,547044,34.98,1.33,3
2024,4334,946069,30.88,1.22,6
1957,1391,237404,31.75,1.91,4
1975,2133,469788,26.93,1.85,4
2000,1909,548429,11.15,1.36,4
1994,2939,629098,36.38,2.38,6
1993,3520,731590,27.16,2.24,3
1954,1513,302015,22.86,1.18,4
2019,1735,511584,5.33,1.21,1
1975,2751,608417,18.44,1.67,5
2017,1041,399541,18.95,2.12,5
1968,2843,523292,34.72,0.87,2
1969,801,213793,22.32,1.98,2
1961,3072,594604,15.84,1.9,6
1996,3648,713472,39.1,1.19,6
1950,2568,572943,5.32,1.96,5
1963,2749,583928,17.48,2.4,1
2013,3436,872307,2.64,0.88,3
1987,2963,641514,29.86,1.34,3
1986,1717,363882,36.8,1.54,6
1960,3974,799898,11.92,2.33,1
1952,3041,525113,34.48,2.44,6
1982,4037,865873,12.4,1.55,3
1955,3718,624655,36.52,2.08,6
1999,889,296764,30.4,1.7,4
1959,2509,442898,32.39,1.71,6
1954,2969,631646,1.7,1.27,5
1972,942,136837,38.55,1.17,6
1959,3841,649825,29.34,1.29,5
1993,905,340921,12.89,1.75,1
1951,1686,300864,33.35,0.85,3
1962,1227,338903,11.98,2.34,2
1989,2128,447304,35.04,1.07,2
1951,2695,571462,5.39,1.17,3
2014,2794,650421,28.44,1.68,2
2012,1116,362697,22.09,2.01,6
2022,2786,804345,4.76,0.96,1
1966,1434,362891,10.43,1.34,1
1958,2725,627641,1.48,2.45,3
2024,2856,725182,19.28,1.25,2
1964,3621,786908,12.75,1.33,6
1973,3944,742177,24.34,2.22,1
1987,4230,894167,12.59,0.89,1
1984,3070,711655,12.7,1.59,4
1998,2239,558042,29.98,1.45,4
2018,1352,502982,2.88,1.34,1
2011,4241,871174,36.21,1.29,3
2009,1515,415838,34.24,0.96,5
1999,2087,508509,27.04,1.34,5
2024,2513,685617,24.14,0.87,6
1958,2683,440897,35.8,2.13,1
1983,4189,954845,8.23,1.48,1
1984,1907,482764,4.08,1.55,1
1950,2141,447517,10.34,2.32,3
1989,910,248215,31.99,1.92,4
2013,1050,446991,2.35,0.81,1
1971,3230,681646,23.73,2.4,1
2009,2854,570535,39.82,1.2,2
2013,1258,356266,34.37,0.98,3
2021,1907,574940,21.34,2.11,6
1960,1007,298849,3.48,1.65,1
1963,1699,284562,33.42,1.54,2
2009,4261,963532,24.36,1.22,5
1979,4185,908587,5.48,1.73,6
1984,821,297635,4.66,1.27,1
1986,1209,244009,36.48,2.33,1
1954,1694,310027,27.1,1.17,2
1975,1314,276797,33.34,2.3,3
2011,3998,819281,35.28,1.75,1
1953,1608,285192,23.3,2.21,5
1991,1673,409921,21.18,2.01,1
1967,813,197883,17.79,1.98,5
1989,1770,472425,13.36,1.35,6
2021,3825,922358,17.95,1.2,6
1988,3861,790156,31.18,1.16,4
1963,3883,758588,24.48,2.26,4
1981,2934,618831,35.81,2.19,5
2000,4395,975499,18.29,1.55,3
1987,3756,808253,24.68,1.03,1
1972,2360,478750,25.62,1.45,1
2012,2124,575235,24.08,1.85,4
1964,2066,392040,28.4,1.57,5
1974,2969,678511,10.26,2.13,1
1966,4018,765117,20.98,2.5,1
2015,4438,1067426,5.06,1.12,3
2002,1549,428196,16.0,1.58,2
2000,4227,950319,20.02,1.53,4
1988,1484,385689,26.44,1.32,4
2000,2727,565546,38.07,1.14,2
2019,3156,809897,24.43,0.91,1
1955,1494,261742,30.0,2.31,3
2016,3135,721697,20.74,1.51,3
1956,1106,197211,25.73,1.64,4
2000,4465,1009856,3.77,2.36,3
2021,2789,759269,10.92,2.12,6
1991,3761,806951,15.11,1.02,2
2013,1461,436595,19.43,1.76,1
1964,1348,381122,2.78,1.55,6
1978,4223,928877,6.46,2.16,2
1982,1111,338035,11.8,2.03,5
1976,3720,700790,38.89,1.97,4
1985,1882,470717,13.92,1.38,3
1978,3771,748342,19.8,2.17,5
1987,2537,617332,8.65,0.89,3
2006,1554,439927,24.82,1.07,6
1976,834,268080,11.95,1.37,1
2004,1244,438636,9.07,0.93,1
1982,2940,624645,21.15,1.2,1
2017,2782,802169,1.21,2.21,3
2015,2030,568946,1.3,2.41,5
1959,1152,300981,9.54,1.32,1
1954,1702,448863,2.43,1.25,5
2023,2155,697765,5.21,1.28,3
1987,3709,816007,14.22,1.27,6
1962,2548,439021,32.3,0.86,5
1980,958,293152,23.31,2.38,6
1996,2777,643472,20.99,1.16,3
2001,1756,498601,12.45,1.51,3
2005,2871,596960,37.34,0.82,4
1964,1203,260373,16.48,2.26,3
1978,3652,842130,4.4,2.04,3
1957,1315,277259,25.07,2.41,2
1954,3579,755394,5.44,2.13,1
1978,2187,497639,14.46,1.33,4
1996,4253,892023,20.79,1.22,4
2017,3379,716430,35.09,1.99,4
1994,1755,439668,20.25,1.42,2
1951,2999,518616,28.39,1.76,6
1976,4433,783492,39.72,0.81,3
1985,2512,643991,6.13,0.91,1
1985,3794,809555,11.71,1.71,5
1975,1407,381839,16.39,1.76,6
1992,4488,975326,17.45,2.08,3
1976,3267,708634,17.03,1.02,2
2018,2073,549550,36.4,1.67,3
1969,3988,737745,28.85,1.13,3
1960,3713,734916,24.71,0.96,2
2023,2335,654771,13.07,1.5,4
1987,3425,757890,33.13,1.08,4
1955,3182,538660,38.25,1.18,1
2021,2241,546420,33.03,1.34,1
1972,3779,860509,1.06,1.24,4
1996,2597,586943,25.82,0.95,6
1995,1094,383951,2.99,0.95,5
1961,1554,346546,11.05,1.13,3
1962,2194,559059,3.32,0.89,5
2011,985,307446,24.55,1.86,3
2009,2069,524734,27.78,1.29,4
1992,1436,475204,5.47,1.28,1
2017,2091,618068,15.97,1.36,6
1954,4108,779765,18.79,1.93,1
1986,1329,369138,15.39,2.28,5
2021,4423,1062870,5.72,2.09,1
1980,2868,597848,17.34,2.04,4
1958,3758,707484,30.3,1.62,6
2000,3714,897975,3.77,1.98,5
1978,1593,484211,4.13,1.74,6
1989,4391,929910,14.84,1.17,3
1990,2947,621503,37.73,1.15,1
1960,3599,711498,27.07,1.3,6
1972,1277,282549,27.47,2.35,2
1950,2422,433338,15.11,1.73,1
1995,4169,874339,24.15,2.05,3
1970,1739,510781,1.4,1.39,6
1985,1325,336820,25.81,1.49,5
2003,3181,691847,36.62,1.01,3
2006,801,286394,24.89,1.09,2
1950,1174,171306,35.07,2.21,6
2012,3140,672276,29.23,1.79,4
2003,3684,911101,5.7,1.37,1
2004,3852,829829,36.2,2.16,5
1989,1352,409483,3.59,1.22,4
1964,3165,628754,21.82,2.46,6
1970,2325,546108,6.54,1.39,6
1996,2651,710112,1.46,1.37,3
2022,1180,414853,17.46,1.33,6
2002,2446,655767,12.51,1.01,5
1958,813,192372,19.95,0.99,4
2023,1303,365776,23.51,1.9,5
2001,3078,797174,2.71,2.29,2
2006,2808,761200,5.8,2.14,2
1975,3955,774225,22.79,1.04,1
1990,929,324549,14.38,1.73,1
1984,1637,415842,29.44,0.98,2
2012,4016,895004,26.44,0.88,6
1974,3738,744156,33.98,1.92,5
2024,2840,687317,28.01,1.71,2
1987,827,273976,17.77,0.94,1
1951,2913,527306,27.25,0.86,2
1956,4034,804652,11.74,2.48,6
1983,2052,506642,12.95,0.85,2
1966,1060,168251,31.77,1.56,5
1992,2846,649596,18.41,1.66,4
2008,2272,570217,32.14,1.0,6
2000,2247,484304,33.07,1.09,1
2003,1259,300981,34.44,1.4,5
1973,1100,215535,36.75,2.09,2
1974,3766,788255,17.81,1.66,2
2020,4174,1002883,13.44,1.88,4
2001,3134,709623,23.71,2.47,1
2019,4266,1001603,15.48,2.11,1
1982,3881,791445,24.44,1.54,3
1998,1429,338398,28.52,1.56,1
1978,1069,254589,27.85,1.85,4
2012,3439,846899,15.61,1.93,3
1971,2793,652051,7.51,1.65,3
1975,2428,496911,17.79,1.9,2
1977,2601,628738,6.56,0.84,2
1998,3691,737660,35.71,1.53,1
