Time_Seconds,Heart_Rate_BPM,SpO2_Percent,Stress_Score
9350,68.71,95.19,16.46
9360,67.39,98.61,13.72
9370,72.81,98.41,26.05
9380,71.66,97.67,27.51
9390,69.47,97.37,18.8
9400,67.56,98.57,22.07
9410,74.26,95.74,26.07
9420,73.84,95.32,17.56
9430,71.83,95.96,17.79
9440,77.91,98.18,27.09
9450,69.39,95.14,25.5
9460,68.27,97.33,20.56
9470,71.01,98.98,15.88
9480,73.19,98.42,28.22
9490,74.29,97.09,18.59
9500,73.07,95.25,18.89
9510,75.09,98.33,22.41
9520,70.52,97.4,25.42
9530,78.84,95.46,25.95
9540,74.49,95.38,22.46
9550,78.33,98.64,24.18
9560,76.23,97.68,21.67
9570,76.81,98.32,23.96
9580,77.38,98.52,11.83
9590,77.24,97.29,20.71
9600,78.05,97.07,23.18
9610,80.33,96.72,18.53
9620,77.16,96.27,23.41
9630,78.92,96.74,21.75
9640,76.74,98.1,28.72
9650,81.54,97.41,29.91
9660,75.41,98.57,19.3
9670,83.06,96.77,23.62
9680,77.74,97.43,21.8
9690,73.78,97.53,18.7
9700,78.66,97.37,23.24
9710,76.44,97.81,18.54
9720,81.2,95.95,18.96
9730,76.92,97.05,24.26
9740,77.74,95.42,24.61
9750,73.6,96.54,17.22
9760,78.1,96.95,25.82
9770,72.37,97.61,17.42
9780,75.07,98.8,22.04
9790,82.29,97.4,27.2
9800,82.54,97.97,23.88
9810,81.63,97.03,25.47
9820,77.63,97.54,19.99
9830,80.55,95.28,22.43
9840,80.85,96.02,22.52
9850,77.54,96.45,19.03
9860,85.69,96.89,24.57
9870,83.96,95.18,18.39
9880,80.81,95.56,21.36
9890,81.7,96.11,22.54
9900,82.39,98.89,22.93
9910,75.78,96.33,20.34
9920,81.29,96.93,23.27
9930,80.12,95.78,24.97
9940,79.29,97.44,26.21
9950,81.57,96.12,21.03
9960,87.92,95.83,21.36
9970,84.56,97.07,20.66
9980,81.04,95.02,21.47
9990,84.57,95.03,23.42
