Hours Since Dec 1 2017,Rented Bike Count,Temperature(degC),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(degC),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day
1391,103,-7.6,42,1.2,1760,-18.3,0,0,0,Winter,No Holiday,Yes
1392,125,-7.5,36,2.3,1972,-20,0,0,0,Winter,No Holiday,Yes
1393,103,-7.5,45,2.4,1853,-17.4,0,0,0,Winter,No Holiday,Yes
1394,72,-7.8,51,1.9,1627,-16.1,0,0,0,Winter,No Holiday,Yes
1395,67,-7.7,49,1.8,1573,-16.5,0,0,0,Winter,No Holiday,Yes
1396,38,-7.6,37,1.6,1966,-19.8,0,0,0,Winter,No Holiday,Yes
1397,21,-7.5,33,1.5,2000,-21,0,0,0,Winter,No Holiday,Yes
1398,30,-7.8,35,1.9,2000,-20.6,0,0,0,Winter,No Holiday,Yes
1399,42,-8,39,1.9,2000,-19.5,0,0,0,Winter,No Holiday,Yes
1400,72,-8.1,43,1.7,1943,-18.5,0,0,0,Winter,No Holiday,Yes
1401,104,-7.8,41,1.8,1923,-18.7,0.17,0,0,Winter,No Holiday,Yes
1402,111,-5.9,35,1.9,1940,-18.9,0.53,0,0,Winter,No Holiday,Yes
1403,145,-4.6,27,2.6,1887,-20.8,0.85,0,0,Winter,No Holiday,Yes
1404,189,-3.5,26,2.5,1756,-20.2,1.07,0,0,Winter,No Holiday,Yes
1405,206,-2.4,22,2.5,1866,-21.2,1.16,0,0,Winter,No Holiday,Yes
1406,225,-1.5,20,3,1992,-21.6,1.09,0,0,Winter,No Holiday,Yes
1407,217,-1.9,23,4.3,2000,-20.3,0.7,0,0,Winter,No Holiday,Yes
1408,187,-2.1,27,4,2000,-18.6,0.52,0,0,Winter,No Holiday,Yes
1409,178,-3.8,32,5.2,2000,-18.1,0.25,0,0,Winter,No Holiday,Yes
1410,157,-4.9,35,3.7,2000,-18,0.04,0,0,Winter,No Holiday,Yes
1411,134,-6,31,3.6,2000,-20.4,0,0,0,Winter,No Holiday,Yes
1412,113,-7,30,2.8,2000,-21.6,0,0,0,Winter,No Holiday,Yes
1413,106,-7.3,34,3.5,2000,-20.5,0,0,0,Winter,No Holiday,Yes
1414,105,-7.9,40,2.5,1997,-19.1,0,0,0,Winter,No Holiday,Yes
1415,81,-8.7,42,2.1,1981,-19.3,0,0,0,Winter,No Holiday,Yes
1416,80,-9.3,45,0.7,1976,-19,0,0,0,Winter,No Holiday,Yes
1417,62,-9.8,47,1.3,1934,-19,0,0,0,Winter,No Holiday,Yes
1418,49,-10.2,47,0.9,1808,-19.3,0,0,0,Winter,No Holiday,Yes
1419,27,-9.8,43,2.8,1963,-20,0,0,0,Winter,No Holiday,Yes
1420,26,-9.9,45,2.5,1967,-19.6,0,0,0,Winter,No Holiday,Yes
1421,50,-10.4,47,1,1921,-19.5,0,0,0,Winter,No Holiday,Yes
1422,94,-10.9,43,1,1967,-21,0,0,0,Winter,No Holiday,Yes
1423,231,-11.1,37,1.6,2000,-22.9,0,0,0,Winter,No Holiday,Yes
1424,450,-11.5,38,1,1998,-23,0.01,0,0,Winter,No Holiday,Yes
1425,217,-10.8,34,2.9,1975,-23.6,0.17,0,0,Winter,No Holiday,Yes
1426,135,-9.5,28,3.7,1893,-24.6,0.59,0,0,Winter,No Holiday,Yes
1427,166,-8.1,24,3.6,1761,-25.1,0.91,0,0,Winter,No Holiday,Yes
1428,186,-7.3,23,3.8,1903,-24.9,1.17,0,0,Winter,No Holiday,Yes
1429,166,-6.9,23,4.6,1963,-24.6,1.28,0,0,Winter,No Holiday,Yes
1430,168,-5.7,23,4.5,1956,-23.5,1.25,0,0,Winter,No Holiday,Yes
1431,177,-5.2,27,4.5,1927,-21.3,1.06,0,0,Winter,No Holiday,Yes
1432,195,-5.5,28,4.3,1926,-21.1,0.78,0,0,Winter,No Holiday,Yes
1433,239,-5.7,30,3.6,1978,-20.5,0.4,0,0,Winter,No Holiday,Yes
1434,438,-6.6,34,2.5,2000,-19.8,0.06,0,0,Winter,No Holiday,Yes
1435,282,-7.1,40,3.2,2000,-18.4,0,0,0,Winter,No Holiday,Yes
1436,197,-7.4,41,3.8,2000,-18.4,0,0,0,Winter,No Holiday,Yes
1437,182,-7.7,42,2.9,1905,-18.4,0,0,0,Winter,No Holiday,Yes
1438,172,-8.8,40,3,1985,-19.9,0,0,0,Winter,No Holiday,Yes
1439,99,-9.4,41,1.6,2000,-20.2,0,0,0,Winter,No Holiday,Yes
1440,108,-10,34,1.1,2000,-22.9,0,0,0,Winter,No Holiday,Yes
1441,129,-10.4,37,0.3,2000,-22.3,0,0,0,Winter,No Holiday,Yes
1442,84,-10.6,40,1,2000,-21.6,0,0,0,Winter,No Holiday,Yes
1443,54,-10.7,42,1.4,2000,-21.1,0,0,0,Winter,No Holiday,Yes
1444,33,-11.1,50,1.2,1986,-19.4,0,0,0,Winter,No Holiday,Yes
1445,47,-11.3,53,1.6,1979,-19,0,0,0,Winter,No Holiday,Yes
1446,94,-11.2,53,0.9,2000,-18.9,0,0,0,Winter,No Holiday,Yes
1447,214,-11.3,57,0.9,1984,-18.1,0,0,0,Winter,No Holiday,Yes
1448,491,-11.1,61,0.7,1963,-17.1,0.01,0,0,Winter,No Holiday,Yes
1449,254,-9.9,49,0.8,1624,-18.6,0.2,0,0,Winter,No Holiday,Yes
1450,170,-7.5,42,0.9,1705,-18.2,0.55,0,0,Winter,No Holiday,Yes
1451,220,-4.5,29,1.3,1912,-19.8,0.79,0,0,Winter,No Holiday,Yes
1452,253,-3.2,32,2.7,1900,-17.5,1.01,0,0,Winter,No Holiday,Yes
1453,225,-1.3,35,2,1893,-14.8,1.18,0,0,Winter,No Holiday,Yes
1454,238,-1.1,46,2.1,1437,-11.2,0.72,0,0,Winter,No Holiday,Yes
1455,173,-1.6,55,2.5,1891,-9.4,0.64,0,0,Winter,No Holiday,Yes
1456,94,-2.2,76,1.7,233,-5.8,0.25,0,0,Winter,No Holiday,Yes
1457,53,-2.4,85,0.3,174,-4.5,0.06,0,0.6,Winter,No Holiday,Yes
1458,100,-2.3,91,0.4,202,-3.5,0,1.4,2,Winter,No Holiday,Yes
1459,59,-1.7,91,1.1,167,-2.9,0,0,3,Winter,No Holiday,Yes
1460,72,-1.5,91,1.7,270,-2.7,0,0,3.3,Winter,No Holiday,Yes
1461,60,-1.6,91,1.3,508,-2.8,0,1.5,3.5,Winter,No Holiday,Yes
1462,73,-1.7,85,1.2,1006,-3.8,0,0,3.5,Winter,No Holiday,Yes
1463,62,-1.7,83,1,1093,-4.2,0,0,3.5,Winter,No Holiday,Yes
1464,69,-1.7,83,0.8,1113,-4.2,0,0,3.5,Winter,No Holiday,Yes
1465,96,-1.6,81,1.1,1141,-4.4,0,0,3.5,Winter,No Holiday,Yes
1466,60,-1.6,80,1.4,1097,-4.6,0,0,3.5,Winter,No Holiday,Yes
1467,47,-2.2,83,1,977,-4.7,0,0,3.5,Winter,No Holiday,Yes
1468,34,-2.4,82,1.5,877,-5,0,0,3.5,Winter,No Holiday,Yes
1469,34,-2.8,83,0.6,946,-5.2,0,0,3.5,Winter,No Holiday,Yes
1470,63,-3.1,80,0.7,1215,-6,0,0,3.5,Winter,No Holiday,Yes
1471,124,-3.5,83,1.6,953,-5.9,0,0,3.5,Winter,No Holiday,Yes
1472,273,-3.6,83,1.7,915,-6,0,0,3.5,Winter,No Holiday,Yes
1473,137,-3.3,77,1.2,916,-6.7,0.1,0,3.4,Winter,No Holiday,Yes
1474,102,-2.3,63,1.7,1286,-8.4,0.22,0,3.2,Winter,No Holiday,Yes
1475,144,-1.5,46,2.5,1906,-11.6,0.56,0,3,Winter,No Holiday,Yes
1476,160,-1,35,2.7,1921,-14.5,0.64,0,3,Winter,No Holiday,Yes
1477,171,-0.8,39,2.6,1853,-13,0.54,0,2.8,Winter,No Holiday,Yes
1478,156,-0.7,33,2.7,1984,-15,0.56,0,2.5,Winter,No Holiday,Yes
1479,214,-0.5,30,2.3,1997,-15.9,0.45,0,2.2,Winter,No Holiday,Yes
1480,216,-0.1,29,1.6,2000,-16,0.5,0,1.8,Winter,No Holiday,Yes
1481,279,-0.9,34,2.8,2000,-14.8,0.28,0,1.8,Winter,No Holiday,Yes
1482,403,-1.8,35,2.1,2000,-15.2,0.05,0,1.6,Winter,No Holiday,Yes
1483,270,-2.2,36,2.2,2000,-15.2,0,0,1.6,Winter,No Holiday,Yes
1484,229,-2.6,36,3.1,2000,-15.6,0,0,1.6,Winter,No Holiday,Yes
1485,229,-3.4,40,0.9,2000,-15,0,0,1.6,Winter,No Holiday,Yes
1486,188,-4.2,48,1,2000,-13.5,0,0,1.6,Winter,No Holiday,Yes
1487,132,-4.7,53,1.3,2000,-12.8,0,0,1.6,Winter,No Holiday,Yes
1488,122,-5.2,56,1.4,1996,-12.6,0,0,1.6,Winter,No Holiday,Yes
1489,149,-5.4,54,1.7,1996,-13.2,0,0,1.6,Winter,No Holiday,Yes
1490,103,-5.5,53,2.1,1980,-13.5,0,0,1.6,Winter,No Holiday,Yes
1491,81,-6.2,57,1.6,1874,-13.3,0,0,1.6,Winter,No Holiday,Yes
1492,37,-7.1,56,1.8,1841,-14.4,0,0,1.6,Winter,No Holiday,Yes
1493,51,-7.8,65,2.3,1737,-13.2,0,0,1.6,Winter,No Holiday,Yes
1494,95,-8.1,59,0.7,1915,-14.7,0,0,1.6,Winter,No Holiday,Yes
1495,244,-8.7,64,0.5,1972,-14.2,0,0,1.6,Winter,No Holiday,Yes
1496,459,-8.6,59,1,1948,-15.1,0.01,0,1.6,Winter,No Holiday,Yes
1497,259,-7.9,50,0.6,1805,-16.5,0.23,0,1.6,Winter,No Holiday,Yes
1498,168,-5,41,0.5,1799,-16.2,0.64,0,1.5,Winter,No Holiday,Yes
1499,194,-2.6,33,1.5,1830,-16.6,0.95,0,1.4,Winter,No Holiday,Yes
1500,240,-1.1,31,1.3,1869,-16.1,1.2,0,1.3,Winter,No Holiday,Yes
1501,233,0.3,28,3.1,1988,-16.1,1.3,0,1,Winter,No Holiday,Yes
1502,256,0.8,23,3.2,2000,-18,1.29,0,0.5,Winter,No Holiday,Yes
1503,293,0.7,25,3,1987,-17.1,1.12,0,0,Winter,No Holiday,Yes
1504,268,1.1,26,2.1,1957,-16.3,0.82,0,0,Winter,No Holiday,Yes
1505,341,0.3,26,2.4,1977,-17,0.45,0,0,Winter,No Holiday,Yes
1506,542,-1,28,1.9,2000,-17.2,0.08,0,0,Winter,No Holiday,Yes
1507,344,-1.8,32,1.5,2000,-16.3,0,0,0,Winter,No Holiday,Yes
1508,263,-2.4,36,1,2000,-15.4,0,0,0,Winter,No Holiday,Yes
1509,257,-3.2,47,1.8,1917,-12.9,0,0,0,Winter,No Holiday,Yes
1510,235,-3.9,52,1.2,1871,-12.3,0,0,0,Winter,No Holiday,Yes
1511,143,-4.5,55,0.4,1908,-12.1,0,0,0,Winter,No Holiday,Yes
1512,138,-4.9,56,1.1,1982,-12.3,0,0,0,Winter,No Holiday,Yes
1513,159,-5.2,56,0.9,1973,-12.6,0,0,0,Winter,No Holiday,Yes
1514,102,-5.7,59,0.3,1951,-12.4,0,0,0,Winter,No Holiday,Yes
1515,65,-6.3,63,0.9,1425,-12.2,0,0,0,Winter,No Holiday,Yes
1516,47,-6.7,65,1.1,1705,-12.1,0,0,0,Winter,No Holiday,Yes
1517,48,-6.8,61,0.2,1724,-13,0,0,0,Winter,No Holiday,Yes
1518,115,-7,62,1.3,1830,-13,0,0,0,Winter,No Holiday,Yes
1519,267,-7.4,62,1.5,1909,-13.4,0,0,0,Winter,No Holiday,Yes
1520,558,-7.4,58,2.2,1882,-14.2,0.01,0,0,Winter,No Holiday,Yes
1521,280,-6.5,54,1.2,1541,-14.2,0.22,0,0,Winter,No Holiday,Yes
1522,187,-4.1,43,1.2,1187,-14.8,0.59,0,0,Winter,No Holiday,Yes
1523,234,-1.4,37,1,1317,-14.2,0.91,0,0,Winter,No Holiday,Yes
1524,303,0.9,37,1.5,1283,-12.1,1.12,0,0,Winter,No Holiday,Yes
1525,294,1.6,29,2.2,1662,-14.5,1.2,0,0,Winter,No Holiday,Yes
1526,293,3.2,26,2.2,1499,-14.5,1.16,0,0,Winter,No Holiday,Yes
1527,310,3.6,26,2.4,1687,-14.1,0.99,0,0,Winter,No Holiday,Yes
1528,330,2.9,26,3,1968,-14.7,0.69,0,0,Winter,No Holiday,Yes
1529,382,2,25,2.3,1998,-16,0.34,0,0,Winter,No Holiday,Yes
1530,592,0.5,37,3,1733,-12.5,0.06,0,0,Winter,No Holiday,Yes
1531,379,-0.5,43,2.5,1666,-11.5,0,0,0,Winter,No Holiday,Yes
1532,241,-1.3,51,2.4,1481,-10.1,0,0,0,Winter,No Holiday,Yes
1533,225,-2,61,1.7,1655,-8.5,0,0,0,Winter,No Holiday,Yes
1534,227,-2.4,63,1.3,1523,-8.4,0,0,0,Winter,No Holiday,Yes
1535,178,-2.6,69,2,1434,-7.5,0,0,0,Winter,No Holiday,Yes
1536,182,-2.5,69,2.2,1366,-7.4,0,0,0,Winter,No Holiday,Yes
1537,184,-2.3,71,3.2,1078,-6.8,0,0,0,Winter,No Holiday,Yes
1538,123,-3.4,82,4.2,184,-6,0,0,0,Winter,No Holiday,Yes
1539,60,-4.4,80,4.3,346,-7.3,0,0.1,0.1,Winter,No Holiday,Yes
1540,35,-5.6,74,4,387,-9.5,0,0,0.2,Winter,No Holiday,Yes
1541,31,-6.3,65,3.9,1521,-11.8,0,0,0.3,Winter,No Holiday,Yes
1542,33,-7.8,57,4.8,1867,-14.8,0,0.4,0.3,Winter,No Holiday,Yes
1543,67,-8.8,58,4,1942,-15.5,0,0,0.3,Winter,No Holiday,Yes
1544,116,-9.5,56,3.5,1979,-16.6,0.01,0,0.3,Winter,No Holiday,Yes
1545,168,-9.4,47,3.3,1995,-18.6,0.42,0,0.3,Winter,No Holiday,Yes
1546,144,-8.5,43,4,1797,-18.8,1.09,0,0.2,Winter,No Holiday,Yes
1547,195,-7.7,41,4.6,1984,-18.7,1.65,0,0.2,Winter,No Holiday,Yes
1548,192,-6,38,3.4,1930,-18,2.04,0,0,Winter,No Holiday,Yes
1549,229,-5.8,38,3.7,1961,-17.8,2.25,0,0,Winter,No Holiday,Yes
1550,196,-5,31,4,2000,-19.5,2.18,0,0,Winter,No Holiday,Yes
1551,210,-4.5,31,4.3,1979,-19.1,1.91,0,0,Winter,No Holiday,Yes
1552,205,-4.2,31,3.5,1974,-18.8,1.42,0,0,Winter,No Holiday,Yes
1553,211,-5.6,32,4.6,2000,-19.7,0.53,0,0,Winter,No Holiday,Yes
1554,175,-6.6,36,4.4,2000,-19.2,0.15,0,0,Winter,No Holiday,Yes
1555,135,-7.6,32,4.8,2000,-21.4,0,0,0,Winter,No Holiday,Yes
1556,109,-8.5,31,4.1,2000,-22.6,0,0,0,Winter,No Holiday,Yes
1557,107,-9.1,38,2.7,2000,-20.8,0,0,0,Winter,No Holiday,Yes
1558,92,-9.7,45,3,2000,-19.4,0,0,0,Winter,No Holiday,Yes
1559,91,-10,48,2.6,2000,-18.9,0,0,0,Winter,No Holiday,Yes
1560,98,-10.4,49,2.4,2000,-19,0,0,0,Winter,No Holiday,Yes
1561,90,-10.5,48,3.1,2000,-19.4,0,0,0,Winter,No Holiday,Yes
1562,60,-10.5,49,2,2000,-19.1,0,0,0,Winter,No Holiday,Yes
1563,54,-10.6,47,3.7,2000,-19.7,0,0,0,Winter,No Holiday,Yes
1564,35,-11.2,47,2.3,2000,-20.3,0,0,0,Winter,No Holiday,Yes
1565,21,-11.5,51,3.3,1996,-19.6,0,0,0,Winter,No Holiday,Yes
1566,23,-11.8,54,2.4,1917,-19.2,0,0,0,Winter,No Holiday,Yes
1567,34,-12.4,54,2.5,1790,-19.8,0,0,0,Winter,No Holiday,Yes
1568,70,-12.8,56,2.4,1507,-19.7,0.02,0,0,Winter,No Holiday,Yes
1569,97,-12.4,51,3.8,1415,-20.4,0.38,0,0,Winter,No Holiday,Yes
1570,103,-11.2,43,3.5,1359,-21.3,1.04,0,0,Winter,No Holiday,Yes
1571,115,-9.7,37,2.8,1436,-21.6,1.57,0,0,Winter,No Holiday,Yes
1572,165,-8.3,32,1.8,1295,-22.1,1.99,0,0,Winter,No Holiday,Yes
1573,152,-8.3,34,4,1561,-21.4,2.22,0,0,Winter,No Holiday,Yes
1574,177,-7.4,33,4,1713,-20.9,2.17,0,0,Winter,No Holiday,Yes
1575,190,-6.4,30,4.9,1939,-21.1,1.89,0,0,Winter,No Holiday,Yes
1576,181,-5.4,29,3.6,1979,-20.6,1.4,0,0,Winter,No Holiday,Yes
1577,184,-5.9,27,3.6,1974,-21.9,0.81,0,0,Winter,No Holiday,Yes
1578,154,-7,26,4.1,2000,-23.3,0.16,0,0,Winter,No Holiday,Yes
1579,124,-7.7,31,3.3,2000,-21.9,0,0,0,Winter,No Holiday,Yes
1580,98,-8.2,28,3.5,2000,-23.5,0,0,0,Winter,No Holiday,Yes
1581,107,-8.9,35,3.2,2000,-21.6,0,0,0,Winter,No Holiday,Yes
1582,78,-9.7,45,1.3,2000,-19.4,0,0,0,Winter,No Holiday,Yes
1583,77,-10.3,48,2,2000,-19.2,0,0,0,Winter,No Holiday,Yes
1584,82,-10.5,52,2.4,2000,-18.4,0,0,0,Winter,No Holiday,Yes
1585,52,-11.2,54,1,2000,-18.6,0,0,0,Winter,No Holiday,Yes
1586,39,-11.2,55,1.5,2000,-18.4,0,0,0,Winter,No Holiday,Yes
1587,33,-11.3,54,0.6,2000,-18.7,0,0,0,Winter,No Holiday,Yes
1588,20,-11.7,51,1.2,2000,-19.8,0,0,0,Winter,No Holiday,Yes
1589,37,-11.6,45,2.4,2000,-21.1,0,0,0,Winter,No Holiday,Yes
1590,110,-11.5,40,2.3,2000,-22.4,0,0,0,Winter,No Holiday,Yes
1591,227,-11.6,44,1.6,2000,-21.4,0,0,0,Winter,No Holiday,Yes
1592,433,-11.5,40,2.8,2000,-22.4,0.02,0,0,Winter,No Holiday,Yes
1593,216,-11.1,38,2.4,1945,-22.6,0.43,0,0,Winter,No Holiday,Yes
1594,123,-9.6,32,3.7,2000,-23.2,1.14,0,0,Winter,No Holiday,Yes
1595,156,-8.5,27,4.7,1894,-24.2,1.73,0,0,Winter,No Holiday,Yes
1596,157,-7.8,28,4.1,2000,-23.1,2.12,0,0,Winter,No Holiday,Yes
1597,169,-7,25,4.2,1999,-23.7,2.29,0,0,Winter,No Holiday,Yes
1598,170,-6.4,24,4.6,1970,-23.7,2.23,0,0,Winter,No Holiday,Yes
1599,169,-5.7,25,4.4,1995,-22.6,1.94,0,0,Winter,No Holiday,Yes
1600,199,-5.4,25,3.4,1985,-22.3,1.44,0,0,Winter,No Holiday,Yes
1601,225,-6.4,28,4.5,2000,-21.9,0.81,0,0,Winter,No Holiday,Yes
1602,388,-7.6,29,3.5,2000,-22.6,0.16,0,0,Winter,No Holiday,Yes
1603,246,-8.3,29,4.1,2000,-23.2,0,0,0,Winter,No Holiday,Yes
1604,206,-9.1,35,3.8,2000,-21.7,0,0,0,Winter,No Holiday,Yes
1605,177,-9.8,41,3.9,1949,-20.6,0,0,0,Winter,No Holiday,Yes
1606,183,-10.3,43,3.7,1876,-20.5,0,0,0,Winter,No Holiday,Yes
1607,115,-10.5,47,2.8,1794,-19.6,0,0,0,Winter,No Holiday,Yes
1608,126,-10.6,47,3.5,1803,-19.7,0,0,0,Winter,No Holiday,Yes
1609,87,-10.9,36,3.3,2000,-23,0,0,0,Winter,No Holiday,Yes
1610,59,-11.2,36,2.9,1981,-23.3,0,0,0,Winter,No Holiday,Yes
1611,36,-11.6,35,3.2,1992,-24,0,0,0,Winter,No Holiday,Yes
1612,32,-12,36,2.7,1998,-24,0,0,0,Winter,No Holiday,Yes
1613,40,-12.3,37,2.9,2000,-24,0,0,0,Winter,No Holiday,Yes
1614,94,-12.5,40,3.4,1991,-23.3,0,0,0,Winter,No Holiday,Yes
1615,213,-12.7,41,3.7,1982,-23.2,0,0,0,Winter,No Holiday,Yes
1616,438,-12.7,41,3.1,2000,-23.2,0.02,0,0,Winter,No Holiday,Yes
1617,217,-12.3,39,3.7,1984,-23.4,0.45,0,0,Winter,No Holiday,Yes
1618,128,-11.3,35,4.2,1848,-23.7,1.15,0,0,Winter,No Holiday,Yes
1619,175,-9.9,32,3.3,1863,-23.5,1.72,0,0,Winter,No Holiday,Yes
1620,172,-8.2,31,2.7,1858,-22.3,2.09,0,0,Winter,No Holiday,Yes
1621,165,-7.5,28,4.3,1904,-22.9,2.3,0,0,Winter,No Holiday,Yes
1622,147,-7,26,4.4,1986,-23.3,2.24,0,0,Winter,No Holiday,Yes
1623,171,-5.9,25,3.1,1936,-22.8,1.93,0,0,Winter,No Holiday,Yes
1624,175,-5.9,24,3.5,2000,-23.2,1.44,0,0,Winter,No Holiday,Yes
1625,227,-6.6,29,2.5,2000,-21.7,0.68,0,0,Winter,No Holiday,Yes
1626,392,-7.6,36,3.3,2000,-20.1,0.11,0,0,Winter,No Holiday,Yes
1627,251,-8.4,37,4,2000,-20.5,0,0,0,Winter,No Holiday,Yes
1628,193,-9.6,34,2.6,2000,-22.5,0,0,0,Winter,No Holiday,Yes
1629,175,-10.6,39,3.1,2000,-21.9,0,0,0,Winter,No Holiday,Yes
1630,169,-11.1,43,1.8,1960,-21.2,0,0,0,Winter,No Holiday,Yes
1631,106,-11.8,46,1.1,1860,-21.1,0,0,0,Winter,No Holiday,Yes
1632,116,-12.3,47,0.4,1848,-21.3,0,0,0,Winter,No Holiday,Yes
1633,96,-12.3,47,1.9,1837,-21.3,0,0,0,Winter,No Holiday,Yes
1634,83,-12.5,50,1,1722,-20.8,0,0,0,Winter,No Holiday,Yes
1635,51,-12.5,49,1.5,1885,-21,0,0,0,Winter,No Holiday,Yes
1636,34,-13.1,54,0.7,1369,-20.4,0,0,0,Winter,No Holiday,Yes
1637,45,-13,53,0.7,1810,-20.5,0,0,0,Winter,No Holiday,Yes
1638,92,-13.2,50,0.5,1873,-21.4,0,0,0,Winter,No Holiday,Yes
1639,214,-13.2,56,0.9,1665,-20.1,0,0,0,Winter,No Holiday,Yes
1640,469,-13.3,60,0.6,1598,-19.4,0.02,0,0,Winter,No Holiday,Yes
1641,237,-12,50,1.3,1523,-20.3,0.43,0,0,Winter,No Holiday,Yes
1642,155,-9.6,39,0.7,1580,-21,1.06,0,0,Winter,No Holiday,Yes
1643,176,-7,28,3.3,1829,-22.4,1.56,0,0,Winter,No Holiday,Yes
1644,188,-6,24,2.6,1964,-23.3,1.97,0,0,Winter,No Holiday,Yes
1645,228,-4.5,23,2.6,1937,-22.5,2.12,0,0,Winter,No Holiday,Yes
1646,199,-3.5,20,1.5,1976,-23.2,2.02,0,0,Winter,No Holiday,Yes
1647,221,-2.1,20,2.3,1961,-22.1,1.87,0,0,Winter,No Holiday,Yes
1648,240,-1.7,18,2,1919,-22.9,1.41,0,0,Winter,No Holiday,Yes
1649,320,-2.3,20,2.2,1994,-22.2,0.77,0,0,Winter,No Holiday,Yes
1650,448,-4,27,2.5,2000,-20.2,0.16,0,0,Winter,No Holiday,Yes
1651,280,-5.2,33,2.6,2000,-19,0,0,0,Winter,No Holiday,Yes
1652,218,-5.8,44,2.1,1994,-16.1,0,0,0,Winter,No Holiday,Yes
1653,223,-6.3,48,2.2,1965,-15.5,0,0,0,Winter,No Holiday,Yes
1654,200,-6.8,50,1.7,1856,-15.5,0,0,0,Winter,No Holiday,Yes
1655,164,-7.6,50,1,1839,-16.2,0,0,0,Winter,No Holiday,Yes
1656,136,-8.2,50,1.1,1850,-16.8,0,0,0,Winter,No Holiday,Yes
1657,126,-8.5,60,1.2,1908,-14.8,0,0,0,Winter,No Holiday,Yes
1658,103,-8.3,65,0.4,1750,-13.7,0,0,0,Winter,No Holiday,Yes
1659,57,-8.6,64,0.9,1754,-14.1,0,0,0,Winter,No Holiday,Yes
1660,46,-9,54,0.6,1833,-16.6,0,0,0,Winter,No Holiday,Yes
1661,39,-9,56,0.4,1678,-16.1,0,0,0,Winter,No Holiday,Yes
1662,99,-9.3,61,0.7,1684,-15.4,0,0,0,Winter,No Holiday,Yes
1663,255,-9.6,67,1,1503,-14.5,0,0,0,Winter,No Holiday,Yes
1664,507,-9.7,65,0.8,1508,-15,0.02,0,0,Winter,No Holiday,Yes
1665,270,-8.5,55,1,1482,-15.9,0.4,0,0,Winter,No Holiday,Yes
1666,160,-6.3,46,1.3,1346,-16,1.01,0,0,Winter,No Holiday,Yes
1667,217,-3.1,39,1.2,1495,-15.1,1.54,0,0,Winter,No Holiday,Yes
1668,253,-1.5,35,1.2,1551,-15,1.9,0,0,Winter,No Holiday,Yes
1669,270,0.3,30,1.4,1697,-15.2,2.11,0,0,Winter,No Holiday,Yes
1670,253,0.9,25,2.4,1730,-16.9,2.09,0,0,Winter,No Holiday,Yes
1671,286,1.4,25,2.2,1686,-16.5,1.81,0,0,Winter,No Holiday,Yes
1672,284,2,25,2.3,1755,-16,1.3,0,0,Winter,No Holiday,Yes
1673,337,1.5,24,1.9,1788,-16.9,0.72,0,0,Winter,No Holiday,Yes
1674,564,-0.5,26,1.7,1999,-17.7,0.15,0,0,Winter,No Holiday,Yes
1675,378,-1.8,35,1.4,1558,-15.2,0,0,0,Winter,No Holiday,Yes
1676,277,-2.8,40,1.5,1593,-14.5,0,0,0,Winter,No Holiday,Yes
1677,268,-3.3,42,1.1,1596,-14.4,0,0,0,Winter,No Holiday,Yes
1678,233,-3.9,41,0.4,1462,-15.2,0,0,0,Winter,No Holiday,Yes
1679,195,-4.3,44,0.7,1247,-14.7,0,0,0,Winter,No Holiday,Yes
1680,178,-4.6,38,0.1,1551,-16.7,0,0,0,Winter,No Holiday,Yes
1681,159,-4.8,44,1.1,1432,-15.2,0,0,0,Winter,No Holiday,Yes
1682,107,-5.1,47,0.9,1460,-14.6,0,0,0,Winter,No Holiday,Yes
1683,78,-5.2,48,0.7,1309,-14.5,0,0,0,Winter,No Holiday,Yes
1684,46,-4.4,47,0.9,1343,-14,0,0,0,Winter,No Holiday,Yes
1685,36,-4.2,44,1.1,1196,-14.6,0,0,0,Winter,No Holiday,Yes
1686,117,-4,41,0.8,1242,-15.3,0,0,0,Winter,No Holiday,Yes
1687,273,-3.6,42,0.9,1258,-14.6,0,0,0,Winter,No Holiday,Yes
1688,589,-3.3,39,0.9,1279,-15.3,0.02,0,0,Winter,No Holiday,Yes
1689,308,-2.4,36,1.2,1276,-15.4,0.2,0,0,Winter,No Holiday,Yes
1690,199,-1.3,34,0.5,1192,-15.1,0.32,0,0,Winter,No Holiday,Yes
1691,238,-0.2,31,0.8,1269,-15.3,0.5,0,0,Winter,No Holiday,Yes
1692,260,1.6,28,0.5,1193,-14.9,0.88,0,0,Winter,No Holiday,Yes
1693,268,2.6,27,0.8,1120,-14.5,0.82,0,0,Winter,No Holiday,Yes
1694,283,4,25,0.9,1009,-14.3,1.06,0,0,Winter,No Holiday,Yes
1695,315,5,24,1,1037,-13.9,1.16,0,0,Winter,No Holiday,Yes
1696,319,6,28,1.7,1183,-11.1,1.03,0,0,Winter,No Holiday,Yes
1697,422,4.8,38,3,1582,-8.3,0.47,0,0,Winter,No Holiday,Yes
1698,659,4.1,40,2.1,1327,-8.3,0.1,0,0,Winter,No Holiday,Yes
1699,407,3.3,58,1.7,1024,-4.1,0,0,0,Winter,No Holiday,Yes
1700,308,3,61,1.9,842,-3.8,0,0,0,Winter,No Holiday,Yes
1701,243,2.9,63,1,786,-3.4,0,0,0,Winter,No Holiday,Yes
1702,263,2.5,66,1.1,759,-3.2,0,0,0,Winter,No Holiday,Yes
