Year,Mileage,PriceUSD,CityMPG,HighwayMPG,EngineLiters
2015,116504,3984,41,45,1.6
2021,48013,14829,33,39,1.8
2005,240000,2500,32,36,2.5
2015,230179,2500,28,35,4.0
2017,109096,4208,40,46,1.8
2018,120002,8911,25,31,4.5
2014,167646,2500,28,34,2.8
2014,158816,2500,36,41,2.3
2016,86344,2500,38,43,1.7
2012,107065,2500,33,37,2.6
2016,68823,5559,29,36,2.8
2018,129561,10421,27,35,3.4
2023,43550,15985,39,44,1.9
2018,75018,7602,29,38,3.3
2013,177268,2500,36,41,2.0
2021,43043,14521,38,45,2.5
2014,143125,4451,26,33,3.3
2012,158495,2500,35,41,2.7
2019,74060,7182,37,46,2.1
2020,75471,7510,38,43,1.7
2018,74006,6713,38,44,1.9
2015,135736,2500,29,36,2.4
2017,80133,8460,28,36,3.3
2016,128585,2500,40,45,1.5
2016,69999,3788,31,39,2.6
2011,188459,2500,37,44,1.8
2010,240000,2500,32,38,2.7
2014,143997,2500,26,30,3.8
2020,21034,13152,35,41,2.9
2015,62759,5330,32,39,2.1
2021,63805,10075,39,45,1.6
2011,211034,2500,36,45,1.6
2012,240000,2500,38,45,1.3
2012,240000,2500,36,41,1.6
2014,94547,2536,30,38,2.6
2015,121752,3825,30,35,2.7
2012,93003,2500,36,43,2.1
2013,203043,2500,41,49,1.3
2021,41411,14371,32,40,2.6
2017,70426,4433,31,37,2.4
2021,72746,14357,34,41,2.2
2020,53248,10413,38,46,1.7
2020,51190,12160,33,40,2.5
2016,109607,6149,29,35,3.0
2017,175262,3288,40,45,1.7
2025,12746,29121,43,50,1.8
2023,14111,18908,41,48,2.0
2019,88398,8220,33,39,2.7
2014,104193,3336,33,39,2.4
2015,110399,4204,33,40,3.0
2022,33582,22087,33,38,3.1
2014,147012,4715,25,32,3.5
2018,71712,8313,36,42,2.8
2012,162029,2500,40,46,1.7
2011,159091,4420,31,35,2.2
2019,76570,14565,27,33,3.8
2017,89699,2537,36,42,1.9
2025,1854,30186,39,47,1.6
2011,121996,2500,31,36,2.7
2022,19699,19710,32,38,2.6
2018,87031,6529,39,42,1.4
2020,77747,7609,41,45,1.5
2014,49157,3684,32,40,2.7
2011,93054,2500,36,44,1.9
2023,23221,20978,32,39,2.5
2014,113295,5132,27,36,3.6
2014,139657,3370,29,37,2.5
2018,72484,8101,32,38,3.0
2025,1000,36402,34,43,2.7
2016,80215,4099,41,47,1.6
2016,51348,6734,36,41,1.9
2019,47132,11042,35,44,2.5
2012,156188,2500,34,41,1.9
2014,170093,2500,30,36,2.1
2011,161719,2728,25,34,3.9
2009,163523,2852,38,44,1.4
2017,108869,6407,33,41,2.6
2025,9115,35149,34,41,2.8
2012,210242,2500,32,37,2.4
2015,101853,3985,37,45,2.1
2009,240000,2500,39,45,1.7
2020,68953,8412,38,45,1.4
2018,92029,5226,37,43,1.4
2014,141471,2696,40,48,1.3
2018,112198,4154,42,48,1.6
2016,81008,5090,39,47,1.4
2016,94300,3344,31,38,2.3
2019,61266,8383,37,41,2.2
2005,158233,2500,35,41,1.6
2019,72206,7749,38,44,1.8
2011,164084,2500,31,38,2.6
2018,162007,3095,33,40,3.0
2017,100548,2500,41,48,1.6
2017,160245,4777,28,35,2.8
2012,114023,2697,32,38,3.0
2021,33859,12185,40,47,1.4
2013,186186,2500,25,31,3.3
2021,65361,11560,33,42,2.5
2016,135685,5023,21,27,3.9
2013,185016,2500,34,39,2.1
2018,60689,9230,34,42,2.4
2023,27456,16243,39,46,1.6
2017,81238,6753,35,40,1.9
2015,148231,2500,35,41,2.9
2018,79674,6098,36,46,1.8
2017,49655,8006,33,39,2.6
2006,142952,2500,37,46,1.5
2016,112172,5612,31,37,2.9
2019,68444,10160,34,41,2.7
2009,146201,2500,27,32,3.1
2010,178687,2500,37,44,2.0
2016,177387,2500,28,36,3.0
2020,77446,10394,36,44,2.3
2012,240000,3304,30,34,2.6
2022,18559,18828,31,36,2.7
2018,55100,5583,37,43,1.7
2010,211670,2500,37,45,1.8
2024,11640,24554,39,45,1.8
2015,66742,6946,35,41,2.4
2014,129222,2903,38,45,1.5
2012,159495,2500,34,40,2.3
2023,16271,19434,38,49,1.7
2011,183654,3249,29,34,2.6
2007,240000,2500,35,41,2.4
2016,84726,2858,38,45,1.8
2012,228586,2500,38,46,1.2
2009,240000,2500,35,39,1.8
2014,135878,2500,32,39,2.8
2021,40493,12476,40,45,1.8
2016,103077,3559,36,46,1.9
2013,116267,4349,35,39,1.9
2016,100620,3196,34,40,1.8
2018,98382,4409,35,41,1.9
2007,190461,2500,34,41,1.7
2018,34060,8835,33,41,2.5
2014,146085,3630,27,31,3.7
2021,50112,9663,35,40,2.0
2019,53713,9738,31,40,2.5
2014,118963,4734,33,40,2.9
2015,200560,2986,29,33,2.9
2015,112223,4355,31,39,2.5
2012,100332,2834,31,38,3.2
2025,1000,36965,29,34,3.2
2015,119738,2500,38,43,1.9
2014,69561,2500,25,31,3.4
2016,115851,2500,29,34,2.7
2017,65864,5102,41,48,2.0
2017,81812,4171,35,40,2.5
2011,136400,2500,34,39,2.3
2018,41182,7168,35,40,1.6
2013,118044,2813,18,23,4.9
2019,75652,7024,26,32,3.0
2023,5080,23078,37,43,2.4
2015,77514,5578,34,43,2.3
2009,109004,2500,30,35,2.8
2016,89651,7065,30,32,3.0
2013,111298,2500,36,43,1.8
2016,81806,4194,36,39,1.7
2025,1000,28980,43,51,1.8
2016,164828,2533,38,46,2.3
2015,98290,4437,32,39,2.7
2010,165374,2500,36,44,2.0
2019,69294,9267,39,45,2.0
2016,118110,5233,35,44,2.8
2022,58129,16585,31,37,3.2
2015,135075,3997,28,38,3.7
2011,240000,2500,37,43,1.7
2024,8989,24880,40,47,2.2
2020,47848,9745,44,52,1.7
2011,157207,2500,33,39,1.7
2021,46864,12432,38,48,2.3
2022,29394,20614,34,38,2.9
2022,46619,15505,36,43,2.0
2015,115736,4073,33,39,2.8
2024,4518,23906,38,44,1.9
2015,90293,2950,40,49,1.4
2023,20810,24079,38,43,2.7
2005,240000,2500,29,35,2.1
2014,99665,3691,24,32,3.7
2014,131380,3109,39,45,2.2
2021,36911,10526,41,48,1.8
2013,147349,3881,40,48,2.0
2022,42546,18099,32,39,2.8
2024,9908,24941,41,48,1.7
2014,72049,3039,33,41,1.6
2015,85969,3974,35,43,2.7
2014,102868,2882,36,44,1.6
2016,101932,4394,32,36,2.5
2013,183610,2500,30,35,3.0
2023,26433,17177,38,43,2.3
2018,82231,6823,36,43,2.1
2015,73102,4025,37,43,1.5
2025,1000,41608,28,35,3.5
2008,219505,2500,34,41,1.8
2022,41735,19660,36,42,2.0
2016,127719,2842,34,41,2.3
2023,22066,20718,33,41,2.9
2014,102093,5008,34,38,1.8
2018,117856,6284,31,40,2.8
2009,170779,2500,30,36,3.0
2008,125075,2500,32,39,1.8
2015,112033,2590,35,41,1.5
2018,88547,5766,32,38,2.8
2015,129214,2500,36,44,1.6
2012,194191,2500,35,43,1.9
2016,142638,2500,28,33,3.2
2012,221050,2500,38,44,1.6
2019,61459,9386,40,48,1.8
2018,60061,7448,37,44,2.0
2017,91934,4496,37,45,1.6
2024,16911,23310,42,49,1.8
2008,190354,2500,35,39,1.9
2013,158079,2500,37,45,1.3
2015,162124,2500,33,40,2.2
2019,69015,9989,36,44,1.8
2020,45986,9719,41,47,1.5
2015,87861,4426,39,46,1.1
2019,79203,9112,37,42,1.7
2018,98451,5167,36,43,1.7
2014,145133,3955,20,26,4.3
2012,236252,2500,28,34,2.9
2015,204330,2500,39,45,1.6
2019,70536,8529,46,53,1.7
2014,147257,2500,40,45,1.4
2014,97201,2500,34,43,1.5
2017,121513,4314,35,43,1.8
2012,135616,2500,38,44,2.0
2021,80450,14788,39,46,1.9
2009,132937,2500,31,36,1.6
2013,117657,2500,34,42,2.0
2018,111326,6937,30,32,2.6
2014,210100,2500,36,40,1.7
2014,143681,2500,32,39,2.9
2017,22978,8928,26,34,3.0
2014,138283,2500,38,45,1.5
2025,1000,25993,42,48,1.7
2022,23911,18041,34,41,2.5
2014,236195,2880,36,42,2.4
2016,99672,4917,38,45,1.7
2024,1000,26897,38,43,2.2
2017,117281,4520,37,41,1.4
2013,97958,2500,24,31,4.1
2017,94733,6412,24,29,3.8
2016,81554,2931,41,46,1.3
2007,240000,2500,35,39,2.0
2020,115399,11441,37,45,2.5
2015,125395,2500,28,36,2.8
2013,88176,4212,35,38,2.5
2017,65982,4102,35,40,2.2
2014,117568,2500,44,51,1.3
2020,42376,12310,31,38,3.1
2017,108773,8015,41,47,1.4
2016,68205,7016,32,39,3.1
2014,240000,2779,38,42,2.0
2018,43331,9214,32,39,2.4
2011,240000,2500,26,36,2.8
2023,11839,22598,38,42,2.3
2020,36329,7542,40,47,1.4
2014,151331,2500,28,35,3.8
2020,63732,10353,31,38,2.8
2013,228472,2500,25,29,4.0
2020,60983,15251,31,37,3.3
2021,61855,12043,41,49,1.4
2016,168584,3655,34,42,1.8
2006,142837,2500,31,36,2.4
2013,212402,2500,34,43,2.5
2016,71612,4871,40,47,2.0
2022,35428,18782,34,40,2.4
2011,200269,2500,40,48,1.8
2015,122299,4009,38,47,1.4
2016,67607,6262,29,38,2.9
2025,4119,36406,32,40,3.0
2019,105598,5913,38,43,1.6
2011,211446,2500,33,40,2.9
2019,88745,6538,29,37,2.7
2019,62528,10117,32,35,3.5
2023,38613,19535,41,48,1.9
2021,20420,12314,39,46,1.7
2016,101050,5839,40,48,1.7
2013,131503,2500,31,37,2.9
2011,105415,2500,35,43,2.1
2005,240000,2500,23,31,3.5
2012,127192,2500,33,38,2.7
2010,240000,2964,41,49,1.4
2015,131794,2500,37,47,2.1
2009,240000,2500,36,43,2.1
2009,240000,2500,38,44,1.5
2021,13106,12607,35,42,2.2
2016,82905,4155,41,48,2.1
2018,90533,3959,43,49,1.4
2023,24578,23195,32,36,3.1
2017,95292,5795,34,39,2.6
2016,164275,4160,34,42,2.2
2025,3924,41530,28,33,3.6
2019,99146,5065,38,44,2.1
2013,132472,2500,36,45,2.5
2017,153231,4613,38,44,2.4
2019,52535,9169,34,42,2.4
2013,134618,4304,40,48,2.2
2012,240000,2500,37,45,1.9
2014,89385,2500,35,41,1.9
2020,41181,9698,38,46,2.0
2013,79229,2500,40,50,1.7
2024,20078,30526,31,39,3.0
2017,79216,4882,36,40,1.9
2008,192112,3368,29,38,2.3
2017,127869,7898,35,41,2.2
2015,129424,2500,40,49,1.9
2019,49574,11022,35,42,2.3
2017,114547,2511,36,45,2.6
2005,240000,2500,29,35,2.5
2015,63402,5813,29,36,3.3
2013,107830,2613,29,36,3.5
2016,176952,3239,38,46,2.3
2022,35174,18723,32,40,2.8
2016,136817,5055,21,30,4.2
2017,115487,2500,43,50,1.5
2018,132831,7530,29,34,2.8
2018,82612,8221,43,51,1.2
2019,43868,11945,30,37,3.7
2021,48994,9546,43,51,1.8
2016,86189,4318,39,44,1.6
2013,165865,2500,32,40,1.9
2016,61068,3916,33,42,2.4
2018,88232,10055,35,41,1.8
2015,71314,3333,31,38,2.4
2010,143327,2512,30,38,2.6
2013,100066,2500,26,32,2.6
2013,123644,2500,37,41,1.7
2025,13781,27710,39,44,1.5
2020,127212,5285,34,39,2.4
2019,68922,7109,41,47,1.4
2011,240000,2500,29,36,2.7
2005,240000,2500,13,19,4.6
2022,47084,16295,35,42,2.3
2016,98686,2664,34,40,2.6
2017,101415,2734,40,44,1.5
2015,172597,5897,35,42,2.0
2010,156960,2806,36,42,1.9
2013,240000,2500,32,37,2.0
2014,180945,3587,38,45,1.6
2011,134232,3965,28,35,3.1
2022,32111,17364,39,46,2.6
2015,113394,3970,24,29,3.8
2013,114856,3120,29,36,2.7
2021,59484,10957,40,48,1.6
2020,41242,9605,35,40,2.6
2017,133175,6509,31,39,2.8
2019,121776,2919,36,43,2.2
2011,194502,3196,23,31,4.5
2009,240000,2500,30,35,2.0
2012,217783,2500,35,42,2.2
2020,63033,13298,30,35,3.3
2017,58570,7332,35,39,2.3
2011,134994,3360,27,38,3.2
2014,149333,2863,34,41,2.5
2021,37237,10338,42,49,1.2
2019,84942,6184,32,36,2.6
2018,105833,5198,35,42,2.6
2016,70974,7532,32,39,3.7
2009,120593,2500,38,42,1.6
2009,102546,2641,23,29,3.5
2013,94555,2500,40,45,1.9
2012,240000,2500,27,35,3.6
2009,240000,2500,33,39,1.7
2023,30735,18520,39,46,2.0
2012,182194,3297,21,28,4.1
2016,157691,3361,37,41,2.2
2015,112372,5733,27,33,3.5
2015,111673,5096,30,39,2.5
2019,72567,8857,33,41,2.9
2019,77325,4866,38,47,1.9
2017,161705,3136,39,45,2.1
2014,189904,2500,33,40,2.3
2017,93837,7360,30,39,3.0
2008,180000,2500,33,38,2.2
2018,90904,9374,24,27,3.5
2019,66724,6658,42,49,1.9
2017,110407,2958,37,46,1.6
2015,117104,4401,31,36,2.5
2012,108011,2500,34,39,2.1
2006,240000,2500,40,45,1.6
2024,5805,25200,39,43,1.8
2015,102760,4482,36,41,1.7
2021,77990,10327,35,41,2.2
2015,150584,3056,29,33,3.2
2016,80477,4726,34,40,2.2
2018,32706,9615,31,38,3.2
2018,58918,7241,41,48,1.5
2017,91334,4457,34,42,2.7
2015,117417,2500,40,43,1.6
2009,191707,2500,33,39,2.6
2008,214006,2500,29,36,2.7
2011,138127,2500,33,41,2.0
2013,142664,2500,35,41,2.4
2021,34855,12907,38,42,2.3
2012,198800,2500,35,39,1.8
2018,87145,7324,29,33,3.0
2020,85855,11639,35,41,2.3
2012,150921,2500,41,50,1.8
2021,83291,12263,38,44,1.9
2018,105783,7574,32,36,2.8
2016,132007,5654,35,40,2.0
2016,91683,3150,41,48,1.3
2010,153234,2500,26,32,3.4
2009,142966,2500,39,44,1.7
2018,69336,7436,38,43,1.9
2021,68803,12722,37,43,2.7
2014,104496,5195,26,33,3.4
2012,133951,2500,32,37,1.8
2008,170442,2500,35,42,1.7
2022,15676,17130,40,42,1.7
2017,74729,9755,20,26,4.8
2019,88836,7457,31,38,2.9
2018,79439,8248,29,36,3.6
2018,105175,6277,33,40,2.1
2017,110166,2753,38,47,1.8
2025,1000,33579,37,43,2.4
2015,137693,2536,36,42,2.3
2020,40837,7677,42,49,1.5
2012,181094,2500,39,47,1.8
2013,194465,2500,24,30,3.4
2008,240000,2534,27,33,2.6
2014,159314,2500,33,41,2.9
2014,126467,5612,38,42,1.7
2021,51623,13567,42,46,1.9
2014,79513,3289,42,50,1.4
2015,106161,2998,32,38,1.7
2016,119529,3680,26,34,3.3
2011,122908,2500,30,37,2.2
2012,184805,2500,32,38,2.8
2018,95046,7123,28,31,3.1
2023,40265,21227,39,46,2.5
2013,173527,2974,32,42,1.9
2017,133897,6641,34,40,2.1
2018,64270,8337,31,38,3.2
2012,175228,2500,27,33,3.2
2023,18242,20033,40,47,1.7
2023,22354,18537,38,45,2.3
2021,44818,7245,43,50,1.3
2016,63457,3566,36,42,2.1
2021,57942,9981,43,50,1.4
2013,240000,2500,32,37,2.2
2010,145978,2500,30,36,2.9
2017,168831,3113,35,42,2.1
2013,215030,2500,36,42,2.0
2023,18956,24342,34,42,2.8
2024,13098,24125,37,42,1.8
2016,118022,2871,40,46,1.3
2019,64580,9611,33,40,2.8
2023,14481,18471,37,43,1.8
2023,5892,17601,39,44,2.1
2016,86848,2500,40,46,1.6
2018,107435,7778,28,35,3.0
2010,168066,2628,33,39,2.9
2017,131439,4486,35,41,1.7
2009,240000,2500,34,39,1.7
2016,114474,4559,29,36,2.4
2014,175090,2500,36,42,1.7
2019,71013,8243,31,36,2.5
2021,63001,15477,33,40,2.9
2018,116560,7195,37,42,2.6
2024,1598,24481,38,44,2.2
2017,139808,5589,27,33,2.8
2022,38003,18196,39,43,2.5
2017,110847,5362,28,35,2.9
2018,107640,7138,37,44,2.5
2020,67291,12338,29,38,2.9
2017,93489,6929,26,31,3.6
2014,106620,2500,36,44,1.8
2015,174300,2500,34,43,2.1
2020,72206,7807,39,46,1.3
2018,78482,5629,36,43,1.6
2009,143607,2500,32,41,2.1
2018,86668,6587,37,45,1.7
2016,100074,3962,33,38,2.5
2016,185302,2500,36,43,1.8
2012,80207,2500,39,44,2.2
2012,202919,2500,24,30,3.2
2006,240000,2500,29,38,2.3
2016,110381,4215,22,29,3.7
2015,117635,4293,30,39,3.1
2012,153475,2500,30,35,2.6
2017,118509,5524,23,28,3.9
2021,76467,15035,28,32,3.1
2024,1000,20375,41,46,1.6
2009,146147,2500,38,45,1.4
2015,162555,2500,33,39,2.8
2025,11078,33663,32,42,2.8
2010,130337,2500,36,42,1.4
2019,34433,7063,41,47,1.4
2016,136784,3922,34,42,2.1
2023,35569,17794,39,47,1.8
2016,38562,5375,38,44,2.2
2011,166103,2791,33,40,1.5
2006,160417,2500,27,34,2.7
2016,112501,4367,36,41,1.9
2025,7751,28346,41,49,2.1
2012,113797,3005,29,38,2.9
2016,101327,4905,34,41,2.8
2019,56221,7342,38,43,1.5
2017,73179,7672,40,46,2.3
2016,109193,2677,30,35,2.7
2013,187475,2500,29,37,3.4
2013,198520,2500,30,39,2.5
2010,118741,2500,38,42,1.4
2012,152662,2500,41,48,1.3
2009,194945,2643,30,38,2.7
2018,49978,6637,31,35,2.7
2009,130875,2500,31,37,1.8
2020,93292,12428,25,30,3.2
2018,73048,7939,37,44,2.5
2006,240000,2500,32,37,2.3
2018,86002,8568,34,37,2.2
2020,53617,10811,31,39,2.6
2015,145379,4087,32,37,2.6
2018,122209,8561,23,29,4.1
2014,107589,4611,35,41,2.4
2006,136701,2500,24,31,3.5
2019,56096,8880,40,49,1.8
2007,240000,2500,30,37,2.0
2020,67621,7424,40,46,1.6
2017,106769,3700,37,42,2.1
2018,52240,9708,32,38,2.5
2016,34531,4301,39,46,1.5
2012,104281,3846,34,41,2.2
2015,181909,2500,33,42,2.4
2020,74611,7554,38,44,2.3
2005,240000,2500,37,43,1.3
2018,74785,6978,39,47,1.4
2022,23620,14384,38,44,1.6
2016,132949,3390,31,38,2.7
2016,172465,2500,37,42,2.1
2015,71764,6154,32,40,2.8
2013,81106,2500,38,44,1.9
2019,117723,9526,25,32,3.9
2014,109254,2500,34,39,1.9
2023,26383,22964,35,42,2.2
2019,37466,5973,41,49,1.3
2017,68006,6825,34,39,2.8
2014,240000,2500,29,38,2.9
2016,102178,3312,38,41,2.7
2024,9202,26518,35,44,2.4
2016,154316,2965,27,32,3.4
2017,123654,6099,32,38,2.8
2008,221018,2500,35,41,2.7
2019,42819,7981,38,43,2.0
2014,89817,2500,39,45,1.5
2021,31546,16543,33,41,2.9
2017,47105,5697,38,44,1.6
2017,70373,3114,36,41,1.8
2007,240000,2500,34,39,1.7
2013,64226,2500,29,34,2.8
2006,148858,2500,27,30,2.6
2014,119887,2787,32,36,2.3
2013,115978,2500,38,43,1.5
2021,61239,7733,38,46,2.0
2021,45199,15063,29,37,3.7
2019,90037,6884,27,34,2.9
2009,126594,2500,34,41,2.1
2024,1000,23498,43,52,1.7
2011,179011,2500,36,43,2.2
2010,240000,2500,31,38,2.0
2022,37353,13790,37,44,1.7
2012,148639,2500,28,31,3.9
2024,12161,40518,22,32,4.5
2012,111527,4323,21,28,3.9
2012,195674,2500,25,33,2.9
2023,35444,18472,42,48,1.7
2012,136410,2500,33,39,2.6
2019,53426,9735,36,43,2.6
2017,112752,4508,34,40,2.5
2025,2975,30802,40,44,2.0
2019,90767,9371,30,36,2.8
2010,171415,2500,28,34,3.0
2017,64415,4193,37,44,1.8
2015,75293,2500,39,43,2.0
2014,137822,4476,26,31,3.8
2023,24919,14769,42,50,1.0
2009,213367,2500,30,35,2.6
2020,86152,10051,36,43,2.1
2013,240000,2500,31,38,2.1
2017,105929,7172,30,36,2.8
2017,76591,8471,35,41,2.5
2021,48671,14581,38,46,1.9
2013,165884,3150,30,40,2.5
2012,186821,2500,39,43,1.3
2011,188169,3239,29,35,2.7
2009,140169,2500,37,44,1.3
2015,100034,2718,44,54,1.4
2014,163165,2500,33,39,2.5
2022,68739,13300,41,47,2.0
2009,240000,2500,30,35,1.9
2020,46456,8995,41,48,1.5
2019,41609,11924,37,43,2.6
2021,69901,7768,43,50,1.5
2015,135462,3908,38,45,1.6
2024,14424,23999,42,48,1.7
2021,59258,14657,39,48,2.1
2017,76896,5620,38,45,2.3
2014,68086,5005,24,32,3.6
2023,34107,19746,36,46,2.2
2017,57762,8500,38,45,1.9
2018,52081,6673,40,48,1.4
2017,147134,6942,32,39,2.5
2021,56530,11712,40,44,2.1
2011,97438,3095,37,44,1.8
2013,124224,4650,26,32,3.4
2018,37521,6892,35,42,2.2
2017,184024,4475,27,33,3.6
2012,190814,2500,27,35,3.5
2011,204000,2500,31,38,2.5
2016,61351,4838,34,42,1.8
2015,183543,2500,35,43,2.4
2012,129002,2500,39,49,1.8
2010,175715,2500,29,36,2.2
2014,240000,2500,42,46,1.3
2014,92479,2500,24,29,4.2
2015,180698,3104,38,44,2.2
2011,240000,2500,33,39,2.4
2017,74608,4175,38,46,2.0
2019,75381,8219,41,49,2.1
2025,1000,34496,43,49,2.3
2016,51714,8828,29,35,2.7
2010,92704,2500,25,31,3.7
2016,55516,8142,28,35,2.9
2021,46688,11002,41,46,1.8
2019,105819,6479,35,42,2.1
2006,212031,2500,34,39,1.8
2019,79577,11951,39,45,2.1
2025,1000,37749,36,42,3.1
2021,43144,8370,35,40,2.0
2020,68585,6966,40,46,1.4
2024,15426,33880,22,30,4.3
2015,86088,4876,37,44,2.6
2018,51391,9006,29,35,3.0
2015,66765,2991,37,46,1.9
2017,62447,3696,40,48,1.7
2016,68969,4020,33,38,3.1
2016,121416,4835,32,38,2.1
2023,17755,24932,34,41,3.0
2010,240000,2500,39,47,1.4
2017,120037,6599,36,44,2.6
2021,63711,15681,32,40,2.8
2025,2562,28900,38,43,1.8
2012,240000,3514,26,32,3.3
2023,17689,19209,42,49,1.8
2018,85774,6169,37,45,2.1
2023,22456,25704,29,35,3.7
2015,135474,3174,33,38,2.4
2019,87243,5153,36,42,1.9
2014,95334,2530,38,41,2.0
2018,66696,5765,38,46,1.8
2022,29823,21718,35,38,2.8
2011,216846,2500,31,40,2.8
2020,109072,7755,33,38,2.6
2014,240000,2500,38,44,1.9
2013,218513,2500,30,36,2.5
2013,120383,3647,31,37,2.7
2011,183306,2500,31,36,2.6
2025,1000,32167,37,42,2.5
2015,85717,3064,37,45,1.8
2019,81650,5157,38,47,1.9
2022,30037,15604,38,46,1.8
2013,192953,2500,33,38,2.1
2018,60433,6148,32,38,2.7
2014,155737,2500,39,46,1.9
2015,47509,4908,41,48,1.7
2013,145905,2855,32,35,3.0
2012,138336,2500,34,42,2.8
2017,62945,8860,26,35,3.9
2023,15702,24003,34,41,2.7
2009,240000,2500,22,29,3.4
2015,92741,4409,31,38,2.4
2016,119690,5211,32,39,2.5
2014,107556,2874,39,45,1.8
2021,43065,10625,42,48,1.7
2019,46328,6966,39,44,1.6
2016,99538,3833,42,46,1.5
2024,12270,25326,37,44,2.7
2017,98820,4998,34,40,3.0
2018,83259,6614,36,41,2.1
2011,218511,2500,33,44,2.0
2010,97437,3553,30,35,2.1
2014,101283,3034,30,33,2.6
2015,149574,2500,33,38,1.9
2018,82956,6967,39,45,1.4
2018,120681,5180,32,36,2.8
2019,75278,6915,36,44,2.5
2024,6589,33547,31,36,3.4
2015,115104,4371,18,26,4.4
2011,106980,2500,29,36,2.7
2017,61592,8325,33,38,3.1
2005,155945,2727,36,42,1.8
2014,178145,2500,40,49,1.5
2025,1000,35429,36,43,2.5
2011,82653,2500,36,43,2.3
2021,37476,18538,26,31,3.4
2014,114636,2500,33,37,2.4
2020,52381,8852,44,53,1.7
2018,56287,10853,32,37,2.7
2016,100805,5332,30,34,2.8
2009,119166,2500,30,37,2.0
2012,240000,2500,31,37,3.0
2020,44688,11751,35,41,2.6
2016,143603,4731,36,44,2.1
2017,61282,5630,38,45,2.1
2017,60842,8418,28,34,3.5
2016,102003,2746,34,38,2.5
2013,224532,2500,24,30,4.2
2017,62505,8295,23,29,4.3
2016,81334,6705,28,34,3.0
2010,240000,2500,36,42,1.8
2013,179240,3362,38,46,1.6
2015,134668,4232,34,40,1.9
2010,240000,2500,41,47,1.4
2017,109730,6205,38,44,2.2
2010,144232,2500,27,33,2.5
2014,139916,2500,32,37,2.7
2009,154338,2500,32,41,2.0
2016,99784,3549,38,45,1.6
2016,59615,2608,38,46,1.6
2013,70977,3878,32,38,1.9
2012,150241,2766,34,39,1.8
2018,96475,5793,26,34,3.8
2011,108951,2500,31,39,2.6
2011,186849,2500,25,34,2.7
2012,158336,2500,37,43,2.2
2022,50302,14963,38,44,1.8
2014,100647,3989,33,42,2.1
2018,87881,8980,33,41,2.5
2019,60558,10057,36,41,2.8
2013,130995,2500,40,46,1.4
2010,240000,2500,30,39,2.8
2018,92110,6591,29,35,2.8
2013,72053,4424,39,44,1.4
2011,231055,2500,36,44,1.7
2010,158689,2500,28,39,3.0
2022,20194,15993,38,41,1.8
2005,89947,2500,34,41,1.5
2018,89310,7914,31,39,3.5
2021,75189,18240,21,28,4.3
2016,107189,3885,37,44,1.9
2013,123469,2500,27,31,3.2
2011,106663,2902,38,45,1.6
2019,77073,8833,32,38,2.9
2015,97659,2522,39,46,1.5
2015,126289,4411,32,40,3.5
2012,118711,2500,37,42,1.6
2022,21262,19884,37,45,2.0
2013,105986,2500,39,44,1.5
2022,45211,18159,41,50,2.2
2014,125825,2500,31,38,2.5
2016,134527,3498,31,36,3.0
2010,152903,2658,38,44,1.6
2005,240000,2500,30,39,1.8
2009,240000,2500,30,38,2.4
2017,150495,3203,33,42,2.7
2016,141277,6585,33,37,2.8
2024,22294,27737,36,43,2.8
2025,1000,41417,26,32,3.9
2017,100737,2500,39,47,1.5
2016,96610,3536,39,44,1.9
2015,151618,2500,37,41,1.7
2015,185650,3665,31,38,2.5
2016,79471,6482,27,33,3.3
2021,37500,10955,33,40,1.9
2011,153633,2500,35,42,1.7
2024,22465,32137,29,33,3.9
2020,55764,10457,39,43,1.7
2013,222962,2500,35,44,2.3
2015,110485,2500,36,43,2.2
2014,129075,4554,30,36,2.7
2016,135495,2961,32,38,2.5
2011,238581,2500,34,39,2.7
2017,88143,6621,31,37,3.1
2010,127903,2500,30,39,2.2
2012,215060,2500,26,32,3.4
2005,128476,2500,33,40,1.8
2020,48410,10722,31,37,2.4
2008,240000,2500,38,43,1.6
2021,45089,16134,34,42,2.9
2024,14478,27241,36,41,2.5
2023,17827,24306,29,34,3.3
2005,240000,2500,33,39,1.9
2009,139491,2500,33,39,1.8
2013,97409,3323,35,41,2.2
2023,32304,22708,31,41,2.7
2019,31645,7945,38,42,1.6
2006,240000,2829,15,22,5.0
2014,197547,5633,24,30,4.2
2014,78914,5611,27,35,3.8
2010,151659,2500,26,31,3.3
2018,64654,4629,33,43,2.0
2014,141450,2500,32,37,2.1
2021,34961,11797,40,45,1.9
2018,116992,4935,39,45,1.6
2019,89305,6520,39,44,1.6
2014,94218,2500,32,37,2.5
2015,134433,4341,40,48,1.6
2022,40822,14644,38,45,1.7
2016,98626,5289,36,43,2.6
2017,83780,4151,32,38,2.7
2024,15243,29587,35,43,3.1
2016,126246,2583,41,46,1.7
2019,105020,6842,31,37,2.4
2012,122158,2500,34,40,1.5
2015,120962,2500,34,38,1.9
2013,133131,3227,27,38,3.1
2011,142098,2500,35,40,1.8
2013,116730,2817,28,33,2.7
2019,67080,11000,24,32,4.2
2015,114429,2500,36,41,1.5
2018,108624,4146,39,45,1.9
2019,58656,11296,25,30,4.1
2016,98635,5496,28,33,2.9
2015,107824,4606,28,36,3.4
2013,218226,2500,32,36,2.4
2024,13094,23144,42,48,1.9
2012,132837,2500,38,46,2.1
2013,83386,3570,33,40,2.4
