Name,Sex,Equipment,Age,Division,BodyweightKg,WeightClassKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Dots,Country,Date
Denis Boyko,M,Raw,27.5,Open,82.85,83,195.0,142.5,275.0,612.5,413.91,Ukraine,2019-12-19
Idris Aslanov,M,Raw,31.5,Open,81.45,83,195.0,145.0,260.0,600.0,409.42,,2019-12-19
Kirill Markin,M,Raw,19.5,Open,82.75,83,200.0,152.5,240.0,592.5,400.67,Latvia,2019-12-19
Dmitriy Kushnir,M,Raw,29.5,Open,78.1,83,222.5,150.0,205.0,577.5,403.98,,2019-12-19
Aleksandr Krasutskiy,M,Raw,28.5,Open,80.6,83,177.5,147.5,225.0,550.0,377.59,,2019-12-19
Artem Shagray,M,Raw,27.5,Open,82.8,83,190.0,135.0,225.0,550.0,371.8,,2019-12-19
Mokhamed Soliman Eslam,M,Raw,22.5,Open,79.6,83,170.0,135.0,240.0,545.0,376.92,,2019-12-19
Ivan Maksimov,M,Raw,32.5,Open,81.8,83,180.0,135.0,225.0,540.0,367.57,,2019-12-19
Anatoliy Stepanov,M,Raw,32.5,Open,80.45,83,200.0,120.0,215.0,535.0,367.69,Russia,2019-12-19
Maksim Ilyasov,M,Raw,33.5,Open,81.0,83,190.0,127.5,217.5,535.0,366.24,,2019-12-19
Vyacheslav Korzhov,M,Raw,31.0,Open,80.5,83,180.0,130.0,220.0,530.0,364.13,Russia,2019-12-19
Oleg Migachev,M,Raw,51.5,Open,76.75,83,185.0,120.0,215.0,520.0,367.68,Russia,2019-12-19
Konstantin Apatenko,M,Raw,29.0,Open,80.65,83,175.0,132.5,207.5,515.0,353.44,,2019-12-19
Pavel Bezzubov,M,Raw,22.5,Open,81.6,83,200.0,115.0,200.0,515.0,351.05,,2019-12-19
Sergey Bityukov,M,Raw,37.5,Open,82.05,83,165.0,125.0,210.0,500.0,339.75,,2019-12-19
Denis Varnovitskiy,M,Raw,32.5,Open,81.5,83,155.0,120.0,200.0,475.0,324.01,,2019-12-19
Nikita Serkov,M,Raw,31.5,Open,78.2,83,150.0,102.5,180.0,432.5,302.32,,2019-12-19
Adel Trofimov,M,Raw,32.5,Open,81.15,83,145.0,120.0,157.5,422.5,288.91,,2019-12-19
Vyacheslav Kravchenko #3,M,Raw,21.5,Open,79.7,83,140.0,110.0,170.0,420.0,290.25,,2019-12-19
Erdni Mikhaylov,M,Raw,24.5,Open,80.65,83,145.0,105.0,150.0,400.0,274.51,,2019-12-19
Aleksey Mantsev,M,Raw,37.5,Open,82.9,83,120.0,140.0,140.0,400.0,270.22,,2019-12-19
Mikhail Vergin,M,Raw,16.5,Open,77.85,83,110.0,65.0,145.0,320.0,224.29,,2019-12-19
Artyom Ulanov,M,Raw,22.5,Open,92.1,93,285.0,160.0,315.0,760.0,485.83,,2019-12-19
Aleksandr Shpak,M,Raw,38.5,Open,92.15,93,245.0,200.0,285.0,730.0,466.53,Russia,2019-12-19
Artyom Vodeniktov,M,Raw,24.5,Open,92.3,93,230.0,160.0,250.0,640.0,408.69,,2019-12-19
Vitaliy Amenitskiy,M,Raw,27.0,Open,87.9,93,235.0,160.0,237.5,632.5,413.95,Russia,2019-12-19
Samvel Danielyan,M,Raw,27.5,Open,92.9,93,230.0,155.0,240.0,625.0,397.86,,2019-12-19
Maksim Shemyakov,M,Raw,17.5,Open,90.5,93,230.0,147.5,240.0,617.5,398.17,,2019-12-19
Anton Chekulaev,M,Raw,21.5,Open,87.2,93,200.0,165.0,247.5,612.5,402.54,Russia,2019-12-19
Stanislav Kholodnyy,M,Raw,32.0,Open,92.2,93,200.0,145.0,255.0,600.0,383.35,Russia,2019-12-19
Oleg Danshchikov,M,Raw,53.5,Open,90.9,93,200.0,160.0,230.0,590.0,379.6,,2019-12-19
Valentin Belin,M,Raw,30.5,Open,84.75,93,202.5,137.5,225.0,565.0,377.04,,2019-12-19
Sergey Larionov,M,Raw,43.5,Open,90.0,93,190.0,112.5,255.0,557.5,360.48,Russia,2019-12-19
Aleksandr Barannikov,M,Raw,33.5,Open,92.4,93,192.5,160.0,190.0,542.5,346.25,,2019-12-19
Aleksandr Boykov,M,Raw,24.5,Open,88.5,93,182.5,140.0,217.5,540.0,352.17,Russia,2019-12-19
Ilya Sled,M,Raw,17.5,Open,84.7,93,185.0,132.5,202.5,520.0,347.12,,2019-12-19
Aleksandr Golubev,M,Raw,33.5,Open,91.43,93,175.0,135.0,200.0,510.0,327.19,Russia,2019-12-19
Vitaliy Sharov,M,Raw,25.5,Open,90.35,93,150.0,150.0,202.5,502.5,324.28,,2019-12-19
Maksim Shakhab,M,Raw,41.5,Open,92.9,93,155.0,135.0,182.5,472.5,300.78,,2019-12-19
Aleksey Korolkov,M,Raw,28.5,Open,91.35,93,150.0,157.5,160.0,467.5,300.05,Russia,2019-12-19
Nikolay Volkov,M,Raw,37.5,Open,87.85,93,150.0,135.0,180.0,465.0,304.41,Russia,2019-12-19
Dmitriy Pechkovskiy,M,Raw,46.5,Open,88.7,93,130.0,120.0,160.0,410.0,267.08,,2019-12-19
Igor Paramonov,M,Raw,36.0,Open,105.0,105,285.0,172.5,292.5,750.0,452.32,Russia,2019-12-19
Maksim Neznamov,M,Raw,41.0,Open,104.5,105,250.0,185.0,300.0,735.0,444.13,Russia,2019-12-19
Dmitriy Makarov,M,Raw,34.5,Open,100.5,105,250.0,160.0,292.5,702.5,431.47,Russia,2019-12-19
Aleksandr Aksenin,M,Raw,26.0,Open,101.85,105,270.0,170.0,250.0,690.0,421.39,,2019-12-19
Kirill Proklov,M,Raw,33.5,Open,103.25,105,250.0,180.0,250.0,680.0,412.93,,2019-12-19
Dmitriy Mishenin,M,Raw,32.5,Open,101.8,105,202.5,167.5,245.0,615.0,375.67,,2019-12-19
Vladimir Mayorov,M,Raw,31.5,Open,101.5,105,210.0,170.0,220.0,600.0,366.96,,2019-12-19
Mikhail Vaslyaev,M,Raw,30.5,Open,103.95,105,230.0,130.0,235.0,595.0,360.31,,2019-12-19
Yuriy Obruchkov,M,Raw,45.0,Open,97.25,105,210.0,155.0,220.0,585.0,364.54,Russia,2019-12-19
Mikhail Terekhov,M,Raw,37.0,Open,102.5,105,210.0,140.0,235.0,585.0,356.32,Russia,2019-12-19
Mark Nuzhnov,M,Raw,18.5,Open,102.95,105,220.0,140.0,225.0,585.0,355.67,,2019-12-19
Kirill Panov,M,Raw,30.5,Open,103.8,105,165.0,165.0,230.0,560.0,339.32,,2019-12-19
Aleksandr Nikolaev,M,Raw,19.5,Open,98.5,105,200.0,140.0,210.0,550.0,340.78,Russia,2019-12-19
Sergey Merzlikin,M,Raw,36.0,Open,105.0,105,172.5,147.5,222.5,542.5,327.18,Russia,2019-12-19
Andrey Belyakov,M,Raw,34.5,Open,103.55,105,185.0,125.0,230.0,540.0,327.52,Russia,2019-12-19
Kirill Yakovlev,M,Raw,24.5,Open,97.15,105,192.5,135.0,210.0,537.5,335.1,Russia,2019-12-19
Aleksandr Lysenko,M,Raw,19.5,Open,102.5,105,180.0,145.0,195.0,520.0,316.73,Russia,2019-12-19
Roman Zvezdin,M,Raw,43.5,Open,104.6,105,170.0,132.5,180.0,482.5,291.44,,2019-12-19
Roman Rybalov,M,Raw,33.5,Open,102.65,105,182.5,135.0,,,,,2019-12-19
Denis Grebnev,M,Raw,33.0,Open,104.5,105,245.0,-225.0,,,,Russia,2019-12-19
Sergey Lyubochkin,M,Raw,42.0,Open,118.45,120,240.0,197.5,257.5,695.0,400.89,Russia,2019-12-19
Vsevolod Kovshar,M,Raw,24.0,Open,111.15,120,222.5,167.5,272.5,662.5,390.86,Russia,2019-12-19
Denis Okutin,M,Raw,33.5,Open,115.05,120,245.0,172.5,235.0,652.5,380.18,,2019-12-19
Sergey Shapugin,M,Raw,29.5,Open,113.6,120,217.5,205.0,225.0,647.5,378.98,,2019-12-19
Rustam Umarov,M,Raw,28.5,Open,117.9,120,235.0,157.5,240.0,632.5,365.42,Russia,2019-12-19
Aleksey Kurilkin,M,Raw,32.5,Open,119.45,120,225.0,155.0,235.0,615.0,353.74,,2019-12-19
Sergey Mikhaylyukov,M,Raw,30.5,Open,110.75,120,230.0,150.0,200.0,580.0,342.64,,2019-12-19
Aleksandr Lazarev,M,Raw,43.5,Open,111.15,120,180.0,160.0,180.0,520.0,306.78,Russia,2019-12-19
Dmitriy Chizhov,M,Raw,39.5,Open,123.75,120+,285.0,202.5,280.0,767.5,436.38,,2019-12-19
Evgeniy Tolkalin,M,Raw,35.5,Open,123.3,120+,210.0,195.0,225.0,630.0,358.62,,2019-12-19
Sergey Khokhlov,M,Raw,27.5,Open,129.75,120+,250.0,195.0,,,,Russia,2019-12-19
Marina Ovsyannikova,F,Raw,19.5,Open,46.86,47,95.0,65.0,125.0,285.0,374.34,,2019-05-04
Svetlana Anikina,F,Raw,34.5,Open,46.5,47,85.0,55.0,120.0,260.0,343.46,,2019-05-04
Tatyana Sayapina,F,Raw,29.5,Open,46.56,47,80.0,50.0,125.0,255.0,336.53,,2019-05-04
Natalya Lapaeva,F,Raw,24.5,Open,45.7,47,90.0,45.0,115.0,250.0,334.56,,2019-05-04
Anastasiya Sizova,F,Raw,27.5,Open,46.02,47,90.0,47.5,112.5,250.0,332.82,Russia,2019-05-04
Elena Kochetkova,F,Raw,27.0,Open,46.06,47,90.0,55.0,105.0,250.0,332.6,Russia,2019-05-04
Arina Pochivalova,F,Raw,18.5,Open,46.42,47,87.5,50.0,102.5,240.0,317.45,,2019-05-04
Anastasiya Tikhomirova,F,Raw,21.5,Open,47.0,47,77.5,47.5,100.0,225.0,294.88,,2019-05-04
Vera Semenyutina,F,Raw,30.5,Open,45.8,47,-90.0,,,,,,2019-05-04
Natalya Gorbacheva,F,Raw,21.5,Open,46.9,47,-100.0,,,,,,2019-05-04
Anna Komlaeva,F,Raw,39.5,Open,51.78,52,127.5,85.0,147.5,360.0,440.1,Russia,2019-05-04
Samira Karaeva,F,Raw,22.5,Open,51.94,52,130.0,77.5,147.5,355.0,433.06,Russia,2019-05-04
Mariya Ushakova,F,Raw,32.5,Open,52.0,52,115.0,82.5,152.5,350.0,426.62,Russia,2019-05-04
Yuliya Malyshenko,F,Raw,21.5,Open,51.06,52,105.0,62.5,115.0,282.5,348.76,,2019-05-04
Elizaveta Pechenkina,F,Raw,18.5,Open,50.64,52,95.0,60.0,125.0,280.0,347.69,Russia,2019-05-04
Anna Andronova,F,Raw,16.5,Open,51.52,52,97.5,47.5,135.0,280.0,343.51,,2019-05-04
Lilit Akhverdyan,F,Raw,22.5,Open,51.7,52,105.0,52.5,115.0,272.5,333.49,,2019-05-04
Natalya Petrova,F,Raw,30.5,Open,51.08,52,92.5,60.0,107.5,260.0,320.89,Russia,2019-05-04
Anastasiya Fedorova,F,Raw,22.5,Open,51.78,52,90.0,55.0,110.0,255.0,311.74,,2019-05-04
Elena Gerasimova,F,Raw,31.5,Open,51.68,52,77.5,55.0,115.0,247.5,302.98,Russia,2019-05-04
Naomi Murakami,F,Raw,25.5,Open,50.36,52,92.5,60.0,92.5,245.0,305.43,,2019-05-04
Sofiya Shelestova,F,Raw,24.5,Open,50.78,52,90.0,47.5,107.5,245.0,303.64,,2019-05-04
Arina Demidova,F,Raw,15.5,Open,55.62,57,115.0,87.5,130.0,332.5,387.15,,2019-05-04
Lyudmila Sinchina,F,Raw,42.0,Open,56.58,57,120.0,62.5,145.0,327.5,377.04,,2019-05-04
Olga Terekhova,F,Raw,26.5,Open,56.78,57,127.5,55.0,140.0,322.5,370.42,,2019-05-04
Nadezhda Krasulina,F,Raw,32.0,Open,56.14,57,107.5,70.0,137.5,315.0,364.52,,2019-05-04
Ekaterina Yudina,F,Raw,29.5,Open,55.92,57,120.0,77.5,112.5,310.0,359.67,,2019-05-04
Polina Ponomareva,F,Raw,19.5,Open,56.16,57,110.0,70.0,130.0,310.0,358.65,,2019-05-04
Ekaterina Ivanova,F,Raw,20.5,Open,56.22,57,125.0,55.0,130.0,310.0,358.4,Russia,2019-05-04
Natalya Galkevich,F,Raw,37.5,Open,56.48,57,100.0,50.0,135.0,285.0,328.49,,2019-05-04
Anastasiya Kushnir,F,Raw,25.0,Open,56.32,57,105.0,72.5,102.5,280.0,323.33,Russia,2019-05-04
Svetlana Zheleznyakova,F,Raw,34.5,Open,56.9,57,102.5,55.0,122.5,280.0,321.16,,2019-05-04
Natalya Blinkova,F,Raw,27.5,Open,55.96,57,87.5,77.5,110.0,275.0,318.91,Russia,2019-05-04
Elena Vasyukova,F,Raw,23.5,Open,55.1,57,97.5,60.0,110.0,267.5,313.43,,2019-05-04
Kseniya Vinogradova,F,Raw,33.5,Open,56.18,57,87.5,52.5,120.0,260.0,300.73,,2019-05-04
Anna Lebedeva,F,Raw,15.5,Open,56.62,57,82.5,47.5,85.0,215.0,247.41,,2019-05-04
Sabina Zavarina,F,Raw,21.5,Open,57.0,57,,,,,,,2019-05-04
Marina Burmistrova,F,Raw,39.5,Open,62.2,63,132.5,82.5,152.5,367.5,398.35,,2019-05-04
Inna Filistovich,F,Raw,24.5,Open,61.65,63,130.0,65.0,145.0,340.0,370.57,,2019-05-04
Natalya Kostromichyova,F,Raw,34.5,Open,61.7,63,125.0,67.5,147.5,340.0,370.38,,2019-05-04
Valeriya Riss,F,Raw,17.5,Open,62.6,63,130.0,62.5,137.5,330.0,356.3,,2019-05-04
Margarita Litvinyuk,F,Raw,35.5,Open,62.4,63,107.5,77.5,130.0,315.0,340.77,,2019-05-04
Anastasiya Ivacheva,F,Raw,18.5,Open,62.5,63,120.0,65.0,125.0,310.0,335.04,,2019-05-04
Diana Gorshkova,F,Raw,26.5,Open,62.1,63,95.0,70.0,127.5,292.5,317.37,,2019-05-04
Aleksandra Sergacheva,F,Raw,17.5,Open,61.9,63,77.5,80.0,110.0,267.5,290.82,,2019-05-04
Anastasiya Koshechkina,F,Raw,25.5,Open,61.7,63,97.5,57.5,110.0,265.0,288.68,,2019-05-04
Anastasiya Putilina,F,Raw,23.5,Open,67.55,72,147.5,95.0,135.0,377.5,389.56,Russia,2019-05-04
Olesya Butusova,F,Raw,30.5,Open,67.15,72,122.5,87.5,137.5,347.5,359.84,Russia,2019-05-04
Marina Kochergina,F,Raw,25.5,Open,71.15,72,132.5,70.0,145.0,347.5,348.24,,2019-05-04
Olga Klimas,F,Raw,43.0,Open,71.85,72,110.0,60.0,160.0,330.0,328.92,Russia,2019-05-04
Vera Veter,F,Raw,27.5,Open,71.35,72,122.5,80.0,125.0,327.5,327.69,,2019-05-04
Anna Trofimova #2,F,Raw,27.5,Open,72.0,72,120.0,65.0,127.5,312.5,311.12,,2019-05-04
Olga Kuzmina,F,Raw,17.5,Open,137.2,84+,205.0,105.0,185.0,495.0,385.23,Russia,2019-05-04
Ivan Semenov,M,Raw,16.5,Open,58.66,59,165.0,95.0,160.0,420.0,361.21,Russia,2019-05-04
Samvel Gabuzyan,M,Raw,23.5,Open,57.2,59,145.0,112.5,152.5,410.0,360.26,,2019-05-04
Vladislav Kachura,M,Raw,17.5,Open,58.64,59,137.5,85.0,162.5,385.0,331.2,,2019-05-04
Aleksey Tyurin,M,Raw,17.5,Open,58.74,59,125.0,90.0,170.0,385.0,330.73,,2019-05-04
Aleksandr Rek,M,Raw,31.0,Open,65.85,66,200.0,120.0,202.5,522.5,410.08,Russia,2019-05-04
Dmitriy Stepanov,M,Raw,16.5,Open,65.35,66,200.0,110.0,205.0,515.0,406.5,,2019-05-04
Sergey Znamenshchikov,M,Raw,22.5,Open,66.0,66,167.5,145.0,200.0,512.5,401.56,,2019-05-04
Artur Mansurov,M,Raw,17.5,Open,63.25,66,190.0,120.0,185.0,495.0,400.57,Russia,2019-05-04
Nikita Zemskov,M,Raw,29.5,Open,65.85,66,162.5,125.0,202.5,490.0,384.58,,2019-05-04
Sergey Perevalov,M,Raw,37.5,Open,66.0,66,180.0,130.0,180.0,490.0,383.93,Russia,2019-05-04
Said Saydametov,M,Raw,21.5,Open,65.55,66,162.5,120.0,200.0,482.5,379.98,,2019-05-04
Aleksandr Samodelkin,M,Raw,38.0,Open,66.0,66,145.0,112.5,215.0,472.5,370.22,Russia,2019-05-04
Maksim Ruzhnikov,M,Raw,21.5,Open,64.2,66,150.0,110.0,185.0,445.0,356.0,,2019-05-04
Dmitriy Trifonov,M,Raw,28.5,Open,72.85,74,190.0,155.0,230.0,575.0,420.39,,2019-05-04
Aleksandr Sedov,M,Raw,36.5,Open,73.55,74,227.5,110.0,230.0,567.5,412.31,Russia,2019-05-04
Andrey Martynyuk,M,Raw,23.5,Open,71.4,74,187.5,130.0,242.5,560.0,414.98,,2019-05-04
Dmitriy Ponosov,M,Raw,32.5,Open,72.05,74,197.5,117.5,245.0,560.0,412.45,,2019-05-04
Dmitriy Kiselev,M,Raw,29.5,Open,73.4,74,180.0,145.0,235.0,560.0,407.4,Russia,2019-05-04
Niyaz Shaydullin,M,Raw,19.5,Open,73.4,74,190.0,115.0,240.0,545.0,396.49,,2019-05-04
Artur Kurmanaev,M,Raw,23.5,Open,73.6,74,180.0,130.0,230.0,540.0,392.15,Russia,2019-05-04
Sergey Krumlyakov,M,Raw,24.5,Open,72.15,74,205.0,120.0,200.0,525.0,386.31,,2019-05-04
Nikolay Kulikov,M,Raw,27.5,Open,73.35,74,170.0,130.0,210.0,510.0,371.19,,2019-05-04
Sergey Kochubey,M,Raw,34.5,Open,69.6,74,155.0,117.5,192.5,465.0,350.68,,2019-05-04
Kirill Marakshin,M,Raw,31.0,Open,73.35,74,152.5,107.5,192.5,452.5,329.34,Russia,2019-05-04
Ivan Rumyantsev,M,Raw,17.5,Open,71.85,74,145.0,97.5,175.0,417.5,308.07,Russia,2019-05-04
Sergey Fokin,M,Raw,22.5,Open,69.75,74,137.5,110.0,140.0,387.5,291.8,Russia,2019-05-04
Andrey Terekhov,M,Raw,39.5,Open,72.7,74,-195.0,,,,,Russia,2019-05-04
Maksim Svinarev,M,Raw,24.5,Open,74.0,74,215.0,147.5,215.0,,,,2019-05-04
Aleksandr Erivanov,M,Raw,29.5,Open,82.2,83,235.0,160.0,275.0,670.0,454.79,,2019-05-04
Aleksandr Perevalov,M,Raw,35.0,Open,82.45,83,235.0,170.0,265.0,670.0,454.01,Russia,2019-05-04
Viktor Kiselyov,M,Raw,34.5,Open,81.05,83,235.0,160.0,260.0,655.0,448.22,Russia,2019-05-04
Dmitriy Kvashnin,M,Raw,23.5,Open,82.45,83,225.0,160.0,245.0,630.0,426.9,Russia,2019-05-04
Dmitriy Kushnir,M,Raw,29.5,Open,80.2,83,220.0,170.0,225.0,615.0,423.45,,2019-05-04
Evgeniy Kopyryulin,M,Raw,26.5,Open,81.15,83,210.0,160.0,245.0,615.0,420.55,,2019-05-04
Dmitriy Trifanov,M,Raw,22.5,Open,79.95,83,210.0,167.5,235.0,612.5,422.5,,2019-05-04
Ivan Matveev,M,Raw,23.5,Open,82.2,83,225.0,155.0,230.0,610.0,414.07,,2019-05-04
Andrey Kozlov,M,Raw,22.5,Open,82.7,83,200.0,142.5,267.5,610.0,412.64,,2019-05-04
Pavel Legkiy,M,Raw,29.0,Open,82.2,83,210.0,150.0,245.0,605.0,410.67,Russia,2019-05-04
Yaroslav Feskov,M,Raw,23.0,Open,80.9,83,210.0,145.0,245.0,600.0,411.03,Russia,2019-05-04
Nikita Bespalov,M,Raw,21.5,Open,81.45,83,217.5,147.5,235.0,600.0,409.42,,2019-05-04
Aleksey Pribylnov,M,Raw,29.0,Open,78.44,83,210.0,157.5,230.0,597.5,416.88,,2019-05-04
Aleksey Kubarev,M,Raw,28.5,Open,79.65,83,215.0,157.5,225.0,597.5,413.07,,2019-05-04
Idris Aslanov,M,Raw,31.5,Open,81.5,83,190.0,145.0,260.0,595.0,405.86,,2019-05-04
Vadim Bannikov,M,Raw,34.5,Open,82.55,83,207.5,170.0,215.0,592.5,401.22,,2019-05-04
Maksim Konstantinov,M,Raw,32.5,Open,82.55,83,210.0,140.0,235.0,585.0,396.14,,2019-05-04
Oleg Spivakov,M,Raw,18.5,Open,82.6,83,202.5,150.0,232.5,585.0,396.0,,2019-05-04
Valentin Belin,M,Raw,30.5,Open,82.65,83,210.0,142.5,230.0,582.5,394.18,,2019-05-04
Mikhail Vasilenko,M,Raw,19.5,Open,82.3,83,195.0,120.0,260.0,575.0,390.04,,2019-05-04
Ivan Maksimov,M,Raw,32.5,Open,83.0,83,195.0,137.5,235.0,567.5,383.11,,2019-05-04
Yuriy Bespalov,M,Raw,32.5,Open,79.15,83,185.0,140.0,240.0,565.0,392.07,,2019-05-04
Ivan Kolesnikov,M,Raw,35.5,Open,81.5,83,210.0,147.5,205.0,562.5,383.7,Russia,2019-05-04
Dmitriy Markov,M,Raw,31.5,Open,80.55,83,180.0,135.0,195.0,510.0,350.26,,2019-05-04
Maksim Kokotaylo,M,Raw,28.5,Open,82.6,83,160.0,150.0,200.0,510.0,345.23,,2019-05-04
Aleksandr Boykov,M,Raw,24.5,Open,81.6,83,175.0,120.0,205.0,500.0,340.82,Russia,2019-05-04
Anatoliy Rylov,M,Raw,32.0,Open,82.2,83,162.5,120.0,185.0,467.5,317.34,Russia,2019-05-04
Anton Tkachev,M,Raw,30.5,Open,82.4,83,217.5,160.0,-220.0,,,,2019-05-04
Dmitriy Sheremetev,M,Raw,36.0,Open,83.0,83,,,,,,,2019-05-04
Nikita Sush,M,Raw,20.5,Open,83.0,83,,,,,,,2019-05-04
Stanislav Kholodnyy,M,Raw,31.0,Open,83.0,83,,,,,,Russia,2019-05-04
Artyom Ulanov,M,Raw,22.5,Open,92.1,93,270.0,150.0,302.5,722.5,461.86,,2019-05-04
Stanislav Vishnyakov,M,Raw,42.5,Open,92.7,93,240.0,175.0,305.0,720.0,458.81,,2019-05-04
Andrey Marugin,M,Raw,30.5,Open,87.45,93,265.0,167.5,280.0,712.5,467.56,,2019-05-04
Maksim Shavyrin,M,Raw,21.5,Open,92.6,93,255.0,175.0,280.0,710.0,452.68,,2019-05-04
Dmitriy Dolmatov,M,Raw,30.5,Open,91.25,93,245.0,177.5,280.0,702.5,451.12,Russia,2019-05-04
Aleksey Kvartalov,M,Raw,22.5,Open,93.0,93,250.0,155.0,280.0,685.0,435.83,,2019-05-04
Roman Karavaev,M,Raw,36.5,Open,91.7,93,240.0,175.0,265.0,680.0,435.62,,2019-05-04
Mikhail Talankin,M,Raw,32.5,Open,92.05,93,215.0,182.5,275.0,672.5,430.01,,2019-05-04
Aleksey Makeev,M,Raw,38.5,Open,91.8,93,235.0,177.5,250.0,662.5,424.18,Russia,2019-05-04
Useyn Emirsaliev,M,Raw,23.5,Open,90.5,93,225.0,165.0,270.0,660.0,425.57,,2019-05-04
Daniil Korshunov,M,Raw,28.5,Open,91.4,93,240.0,190.0,230.0,660.0,423.49,,2019-05-04
Dmitriy Chudnikov,M,Raw,35.0,Open,91.7,93,262.5,162.5,235.0,660.0,422.81,,2019-05-04
Aleksandr Pashkov,M,Raw,33.5,Open,91.7,93,240.0,162.5,257.5,660.0,422.81,,2019-05-04
Sergey Kashkin,M,Raw,27.0,Open,91.7,93,245.0,150.0,265.0,660.0,422.81,Russia,2019-05-04
Dmitriy Taranin,M,Raw,30.5,Open,90.05,93,235.0,157.5,250.0,642.5,415.32,,2019-05-04
Dmitriy Vlasov,M,Raw,41.5,Open,92.95,93,227.5,172.5,240.0,640.0,407.31,Russia,2019-05-04
Aleksandr Polozov,M,Raw,31.5,Open,92.25,93,220.0,182.5,235.0,637.5,407.2,,2019-05-04
Maksim Sekhin,M,Raw,27.5,Open,90.0,93,215.0,167.5,250.0,632.5,408.98,,2019-05-04
Evgeniy Chilingaridi,M,Raw,26.5,Open,92.05,93,227.5,135.0,270.0,632.5,404.44,,2019-05-04
Mikhail Sonin,M,Raw,29.5,Open,92.95,93,235.0,170.0,225.0,630.0,400.94,,2019-05-04
Artyom Vodeniktov,M,Raw,24.5,Open,92.6,93,225.0,150.0,250.0,625.0,398.48,,2019-05-04
Ilya Sergeev,M,Raw,27.5,Open,90.6,93,215.0,152.5,250.0,617.5,397.95,,2019-05-04
Nikita Dolgirev,M,Raw,22.0,Open,91.8,93,190.0,167.5,252.5,610.0,390.57,Russia,2019-05-04
Anton Startsev,M,Raw,47.5,Open,92.0,93,227.5,152.5,230.0,610.0,390.15,,2019-05-04
Andrey Boyko,M,Raw,21.5,Open,92.85,93,212.5,145.0,240.0,597.5,380.46,Russia,2019-05-04
Roman Yakovlev,M,Raw,49.5,Open,91.85,93,200.0,165.0,225.0,590.0,377.66,,2019-05-04
Dmitriy Antonov,M,Raw,25.5,Open,91.0,93,190.0,150.0,240.0,580.0,372.96,Russia,2019-05-04
Aleksandr Tarasov,M,Raw,39.5,Open,91.6,93,190.0,150.0,240.0,580.0,371.76,,2019-05-04
Ilya Usachyov,M,Raw,33.5,Open,91.2,93,215.0,137.5,222.5,575.0,369.35,,2019-05-04
Sergey Larionov,M,Raw,43.5,Open,90.75,93,195.0,115.0,260.0,570.0,367.03,Russia,2019-05-04
Evgeniy Zyryanov,M,Raw,20.5,Open,91.85,93,215.0,122.5,230.0,567.5,363.26,Russia,2019-05-04
Vasiliy Prosvirnin,M,Raw,29.5,Open,91.05,93,195.0,142.5,202.5,540.0,347.15,,2019-05-04
Nikita Chislov,M,Raw,29.5,Open,92.2,93,185.0,140.0,215.0,540.0,345.01,,2019-05-04
Anton Bogachev,M,Raw,33.0,Open,91.2,93,190.0,135.0,210.0,535.0,343.65,,2019-05-04
Andrey Repin,M,Raw,22.5,Open,91.55,93,175.0,125.0,205.0,505.0,323.77,USSR,2019-05-04
Abdulla Kachkaev,M,Raw,23.0,Open,92.3,93,-240.0,,,,,,2019-05-04
Denis Antonov,M,Raw,21.5,Open,93.0,93,,,,,,,2019-05-04
Roman Kroshkin,M,Raw,38.0,Open,93.0,93,,,,,,Russia,2019-05-04
Denis Grebnev,M,Raw,33.0,Open,104.65,105,260.0,240.5,300.0,800.5,483.43,Russia,2019-05-04
Oleg Provotorov,M,Raw,27.5,Open,100.5,105,260.0,185.0,285.0,730.0,448.36,,2019-05-04
Pavel Dukhanov,M,Raw,25.5,Open,103.1,105,260.0,190.0,275.0,725.0,440.52,,2019-05-04
Vyacheslav Tolmasov,M,Raw,31.0,Open,104.7,105,250.0,190.0,280.0,720.0,434.73,,2019-05-04
Vladislav Rozhkov,M,Raw,22.5,Open,102.55,105,260.0,175.0,277.5,712.5,433.89,,2019-05-04
Aleksandr Timofeev,M,Raw,31.5,Open,104.1,105,260.0,170.0,280.0,710.0,429.7,,2019-05-04
Andrey Kiryushin,M,Raw,50.0,Open,104.9,105,250.0,170.0,290.0,710.0,428.36,,2019-05-04
Mikhail Deryugin,M,Raw,20.5,Open,98.05,105,262.5,182.5,255.0,700.0,434.6,,2019-05-04
Albert Kanaev,M,Raw,25.5,Open,104.15,105,255.0,185.0,250.0,690.0,417.51,,2019-05-04
Vitaliy Chebotaryov,M,Raw,25.5,Open,104.65,105,250.0,180.0,260.0,690.0,416.7,,2019-05-04
Maksim Neznamov,M,Raw,40.5,Open,103.85,105,225.0,175.0,277.5,677.5,410.43,Russia,2019-05-04
Tarik Rayan,M,Raw,27.5,Open,100.0,105,250.0,170.0,240.0,660.0,406.24,Russia,2019-05-04
Konstantin Lartsev,M,Raw,33.5,Open,101.7,105,250.0,160.0,250.0,660.0,403.32,,2019-05-04
Kirill Proklov,M,Raw,33.5,Open,103.5,105,240.0,180.0,240.0,660.0,400.38,,2019-05-04
Roman Ladochkin,M,Raw,32.5,Open,103.6,105,235.0,182.5,240.0,657.5,398.71,,2019-05-04
Dmitriy Runov,M,Raw,25.0,Open,104.8,105,240.0,170.0,240.0,650.0,392.31,Russia,2019-05-04
